Title,Article,Category,PressCompany
"르노 XM3, 모로코서 '올해의 자동차' 수상","""아름다운 디자인에 뛰어난 성능""XM3 TCe 260 인스파이어. 르노코리아자동차 제공르노코리아자동차는 자사의 소형 SUV XM3(수출명 르노 아르카나)가 '2024 모로코 올해의 자동차'를 수상했다고 26일 밝혔다.모로코 수입자동차협회(AIVAM)가 주관하는 모로코 올해의 자동차는 모로코를 대표하는 자동차 시상 행사다. 자동차 분야 저널리스트와 전문가로 구성된 심사위원이 예선과 결선을 거쳐 올해의 자동차를 심사한다.올해는 총 14대의 후보 중에서 심사를 거쳐 7대가 결선에 올랐다. 위원회 규정에 따라 디자인과 실내 구성 등 편의성을 측정하는 정적 테스트를 비롯해 주행성능과 동력성능의 우수성을 측정하는 동적 테스트를 진행했다. 여기서 르노 아르카나가 대상을 받았다.아딜 베나니 모로코 수입자동차협회 회장은 ""르노 아르카나는 아름다운 디자인에 뛰어난 성능과 많은 편의장비를 지닌 자동차""라며 ""모로코 올해의 자동차에 선정될 충분한 자격이 있다""고 선정 이유를 설명했다.모로코 올해의 자동차에 뽑힌 르노 아르카나는 직렬 4기통 1.3리터 터보 엔진을 얹은 모델로 국내에서는 XM3 TCe 260으로 판매한다. 르노 그룹과 메르세데스-벤츠가 공동 개발한 터보 엔진은 최고출력 152마력에 최대토크 26.0kg·m의 힘을 낸다. 엔진 내부를 스프레이 코팅해 피스톤 마찰을 줄이면서 높은 출력과 효율을 동시에 실현한 엔진이다.이 엔진은 독일 게트락(GETRAG)이 제작한 7단 듀얼클러치 습식 변속기와 조합된다. 빠르고 매끄러운 변속으로 높은 출력을 손실 없이 바퀴에 고스란히 전달하는 장점을 지녔다. 더불어 이 변속기는 듀얼클러치의 흔한 단점인 떨림 현상을 최소화한 특징이 있다.르노코리아는 XM3 TCe 260을 포함해 총 3가지 파워트레인으로 XM3를 판매하고 있다. 4기통 1.6리터 자연흡기 엔진을 얹은 1.6 GTe는 XM3 기본 모델로 가격 대비 풍성한 옵션과 편안한 주행감으로 꾸준히 판매되는 모델이다. XM3는 지난해 같은 기간에 비해 1월 24일 기준으로 계약률이 105% 상승했다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn",생활/문화,노컷뉴스
"강원2024 경기 보고, 강릉 로컬100도 즐기고","유인촌 문화체육관광부 장관이 26일 2024 강원 동계청소년올림픽이 열리고 있는 강릉스피드스케이팅경기장을 방문해 생일을 맞은 자원봉사자들을 격려하고 있다.  유 장관은 27일까지 ‘로컬100, 강릉을 걷다’ 캠페인을 벌인다. 연합뉴스유인촌 문화체육관광부 장관이 26~27일 ‘2024 강원동계청소년올림픽’(강원2024)이 열리는 강릉을 찾는다. 진종오·이상화 강원2024 조직위원장, 홍보대사 클라씨, 로컬100 참여 신청자 등 50여명이 함께 한다.26일 문체부에 따르면, 유 장관이 이틀 동안 체험하는 ‘로컬100, 강릉을 걷다’는 ‘로컬100 보러 로컬로(이하 로컬로)’ 캠페인 두 번째 편이다. 로컬100은 문체부가 지난해 10월 지역 문화명소, 콘텐츠, 명인 등을 선정한 지역 문화자원 100선을 가리킨다. 전국 등산·숲길 체험 인구 약 3000만명이 지역에 더 오래 머무르도록 걷기와 로컬100 체험을 연계했다.유 장관은 로컬100에 선정된 강릉커피축제와 시나미 명주골목, 강릉단오제, 코리아둘레길의 바우길·해파랑길 등을 찾아 지역문화와 스포츠, 도보 여행을 체험한다. 향후 지역문화진흥원은 카카오VX, 지자체와 함께 지역별 ‘로컬100, ○○(지역명)을 걷다’ 상품을 출시해 내외국인 걷기 여행객에게 소개할 예정이다.유 장관은 캠페인 참여에 앞서 26일 강원2024 현장을 방문해 자원봉사자들에게 감사의 인사를 전했다.",생활/문화,서울신문
"[WE+] 딱 열흘간 열리는 겨울왕국, 영원히 남을 순백의 추억","오늘부터 내달 4일까지 태백 일원눈조각·얼음 썰매장·공연·체험 등31회 맞아 31개 프로그램 손님맞이전국 눈꽃 등반대회·백패킹도 만끽석탄박물관·검룡소 등 관광지 즐비엄동설한(嚴冬雪寒). 대문 밖을 나서기가 겁난다. 여행·외출은 언감생심(焉敢生心). 뜨끈뜨끈한 아랫목에 배를 깔고 등짝이나 지져야지. 그래 겨울은 '방콕(방에 콕 박혀있기)'이야!… 이 글에 공감한다면 당신은 '쉰세대'. 뭐니뭐니 해도 겨울은 추워야 제 맛. 추위를 이기고 겨울을 제대로 나야 만물이 소생하는 봄을 맞이할 수 있다. 겨울다운 겨울, 찐겨울을 만나고 싶다면 '눈의 도시, 겨울왕국'으로 불리는 고원도시 태백이 답이다. 또 하나의 희소식이 있다. 올 겨울 대한민국에서 가장 오싹하고 시원한 축제가 열린다. 눈을 주제로 한 '제31회 태백산 눈축제'다. 겨울축제의 진수를 제대로 보여준다.입김이 쉴새 없이 새어나오고 눈, 코, 입, 귀 모두 벌겋게 달아올랐지만 마냥 즐겁다. 어른·아이할 것 없이 하회탈처럼 웃는다. 시끌벅적한 웃음소리도 끊이지 않는다. 태백산눈축제 기간 일상 광경이다.'흰 눈 사이로 썰매를 타고/달리는 기분 상쾌도 하다/종이 울려서 장단 맞추니/흥겨워서 소리 높여 노래 부른다'겨울에 널리 불리는 미국의 민요 '징글 벨'이다. '태백산 눈축제=동심, 추억'이다. 기성세대에게는 추억과 향수를, 어린 세대에게는 새로움과 환상을 안겨준다.다만, 걱정거리는 하나 생긴다. 부모와 자녀 간 실랑이는 '예삿일'. 이제 집에 가자는 부모, 더 놀겠다는 아이들. 대게 부모가 양보한다. 양보하면서 하는 말 '그럼 10분만 더 놀아'. 아이들은 최소 30분을 바란다.'하늘을 봐/하얗게 눈이 내려와/하얀 함박눈이/나비가 날아다니듯/하얀 눈꽃송이/세상이 온통 하얗게 옷을 갈아입고 있어아름다워 오늘은 말을 해야지/하얀 눈을 보며/눈처럼 깨끗한 사랑/영원할거라고/눈처럼 순수한 사랑/White love oh forever'(터보 스키장에서)국내 대표 겨울 노래다. '태백산 눈축제=사랑'이다. 첫 사랑의 느낌처럼 설렌다. 실종된 연애 세포도 마구마구 샘솟는다. 영원한 사랑도 꿈꾼다.1년 365일 중 겨울추억을 담을 시간은 단 10일. '제31회 태백산눈축제'가 26일 개막한다. 'NOW OR NAVER 지금 여기, 태백(지금 여기, 태백에서만 경험할 수 있는 겨울 축제)'을 주제로 2월 4일까지 열흘 간 태백산국립공원과 문화광장, 황지연못 일원에서 펼쳐진다.도심 곳곳에 조성된 눈축제 백미인 다양한 형태의 웅장한 눈조각이 시민·관광객들을 맞는다.남녀노소 누구나 즐길 수 있는 겨울놀이가 종합선물세트처럼 준비됐다. 31회 눈축제를 맞아 31개 프로그램을 구성, 요일별 테마를 적용해 다양한 콘셉트의 공연 및 이벤트가 국립공원 당골광장, 테마공원에서 줄지어 판을 벌인다.어린이들의 최애(가장 좋아하는) 캐릭터인 '캐리와 친구들'이 눈축제장에 뜬다. 캐리와 친구들 키즈파크(1월27일∼2월4일)를 비롯 캐리 언니와 함께 연을 만들고 날려보는 연날리기 페스티벌(1월27일 오후 1시), 캐리·캐빈·엘리 등 캐리와 친구들 캐릭터와 함께하는 웰컴 댄스 버스킹(1월27일 오전 11시, 오후 2시)이 펼쳐진다.테마공원 호수를 활용한 얼음썰매장과 30m 길이의 눈 미끄럼틀은 스릴만점 최고의 놀이터. 옷이 젖어도, 엉덩방아를 찧어도 기분 좋다. 팽이치기, 투호 던지기 등 전통 야외 겨울놀이 체험을 비롯 컬링, 하키, 얼음썰매 등 동계 스포츠를 즐기다보면 움츠렸던 몸이 풀린다.태백산 버스킹, 친환경 에어큐브 챌린지, 노래자랑, 소망메시지, 태백슈퍼, 태백네컷, 슬릭백 댄스 챌린지, 스탬프 투어, 시민 눈 조각 페스티벌 등 볼거리, 즐길거리가 한가득이다.배에서 꼬르륵 신호가 온다. 더 놀기 위해 든든한 배는 필수. 화로에서 구워먹는 쫀디기, 쥐포 등 추억의 연탄불 먹거리, 푸드트럭, 행사장 곳곳에 드럼 난로가 설치돼 군고구마와 양미리 등이 제공돼 얼었던 몸과 마음을 녹여준다.운영본부에서 배포하는 친환경 봉투에 쓰레기를 담아오면 친환경 굿즈를 제공하는 줍깅 챌린지도 눈길을 끈다.도전! 미니 동계 스포츠, 전국 대학생 눈 조각, 태백산 전국 눈꽃 등반, 태백 천상의 숲 백패킹 등 경연대회도 곁들여진다.주차 및 교통 민원을 최소화하기 위해 주차장이 확충되고, 셔틀버스도 운행된다.눈축제만 즐기면 뭔가 허전할 수 있다. 365세이프타운, 철암탄광역사촌, 석탄박물관, 검룡소, 통리탄탄파크, 오로라파크 등 관광명소가 가득이다.태백산눈축제, 태백 관광지, 겨울산행 1번지이자 우리나라 10대 고봉 중 하나인 태백산(해발 1567m)까지 품는다면 당신의 새해는 어느해 보다 찬란할 것이다. 김우열",생활/문화,강원도민일보
"""이건 사야돼""…벤츠 E클래스 한정판, 나오자마자 '완판'","벤츠 E-클래스 핵심 시장 한국신형 출시 기념해 '한정판' 선보여더 뉴 E-클래스 프리미어 스페셜/사진=메르세데스-벤츠 코리아메르세데스-벤츠 코리아는 신형 E-클래스 출시를 기념해 출시한 E-클래스 한정판 모델이 3시간30분 만에 모두 다 팔렸다고 25일 밝혔다.이번에 한정 판매된 모델은 '더 뉴 E-클래스 프리미어 스페셜'이다. 신형 E-클래스의 모델명 'W214'에 맞춰 총 214대가 온라인 세일즈 플랫폼인 메르세데스-벤츠 스토어에서 한정 판매됐다.프리미어 스페셜은 알파인 그레이 외장 색깔과 통카 브라운 인테리어가 조합된 것이 특징이다. 여기에 리어 액슬 스티어링, 에어매틱 서스펜션, 발광 라디에이터 그릴 및 블랙 컬러의 20인치 AMG 멀티 스포크 알로이 휠 등의 옵션이 추가됐다.벤츠 코리아 관계자는 ""신형 E-클래스의 매력을 배가하는 옵션이 추가되면서 국내 고객들의 눈길을 끌며 호응을 얻었다""고 설명했다.더 뉴 E-클래스 프리미어 스페셜/사진=메르세데스-벤츠 코리아벤츠는 지난 19일 8년 만에 11세대 완전 변경 모델인 '더 뉴 메르세데스-벤츠 E-클래스를 공식 출시했다. E-클래스는 2016년 한국에 처음 출시됐다.10세대 E-클래스는 국내 최초로 수입차 단일 모델 20만대 판매를 돌파하고, 8년 연속 수입차 베스트셀링 모델 1위에 올랐다. 한국은 2018년부터 지난해까지 전 세계를 통틀어 E-클래스 판매 1위를 기록하고 있는 핵심 시장이다.신형 E-클래스는 국내에 총 7개의 라인업으로 출시됐다. △E300 4MATIC 익스클루시브 △E300 4MATIC AMG 라인이 이달 먼저 인도된다. 이후 1분기 중 △E220 d 4MATIC 익스클루시브가 인도될 예정이다. △E200 아방가르드 △E450 4MATIC 익스클루시브 △E350 e 4MATIC 익스클루시브 △메르세데스-AMG E53 하이브리드 4MATIC+가 이후 출시될 계획이다.",생활/문화,한국경제
"정부, 근로자 여행경비 50% 지원 '선착순 모집'","20만원 적립하면 기업·정부가 10만원씩15만명 목표…중소기업·소상공인 등 대상만족도 87.5%, 내수 활성화에도 도움문화체육관광부와 한국관광공사는 다음 달 1일부터 선착순으로 '근로자 휴가 지원'에 참여할 기업과 근로자를 모집한다. 직장 내 자유로운 휴가 문화와 국내 여행을 장려하는 사업이다. 근로자가 20만 원을 적립하면 소속 기업과 정부가 각각 10만 원을 추가로 적립한다. 총 40만 원을 숙박, 교통, 관광지 입장권 등 국내 여행경비로 사용할 수 있다. 대상은 중소기업과 중견기업, 소상공인, 비영리민간단체, 사회복지법인·시설 근로자다. 근로자 휴가 지원 사업 누리집을 통해 기업 단위로 신청받는다. 15만 명을 목표로 지원금 소진 시까지 선착순으로 접수한다.근로자 휴가 지원은 2018년부터 시행됐다. 지난 6년간 중소기업 약 5만 곳과 근로자 50만 명 이상이 참여했다. 매년 실태조사에서 참여자 만족도는 87.5%에 달했다. 정부지원금(10만 원) 대비 약 8.8배의 여행경비 지출을 유도해 내수 활성화에도 도움이 됐다. 정부는 높은 파급효과를 고려해 대상을 기존 9만 명에서 15만 명으로 늘리고, 공공기관·대기업 등과 협업을 확대한다. 문체부 관계자는 ""5년 이상 참여한 중견기업의 기업 분담금을 10만 원에서 15만 원으로 상향 조정하고, 동반성장 지원 참여를 독려할 방침""이라고 설명했다. 동반성장 지원은 공공기관·대기업 등이 중소기업 근로자의 적립을 대납하는 제도다. 지난해 중소벤처기업진흥공단, 건설근로자공제회, 기업은행 등 공공기관의 적극적 참여로 1만 명 이상이 수혜를 누렸다.사업에 참여하는 기업에는 다양한 혜택이 주어진다. 특히 여가친화인증, 가족친화인증, 근무 혁신 인센티브제 등 각종 정부 인증을 신청할 때 가점을 부여받는다. 문체부 관계자는 ""우수 참여 기업에는 정부포상과 우수사례집 등을 통한 홍보 기회도 주어진다""고 말했다.",생활/문화,아시아경제
"르노코리아 XM3, 모로코 ‘올해의 자동차’ 수상","“XM3, 우수한 디자인과 뛰어난 성능 갖춘 자동차”2023 자동차전문기자협회 선정 ‘올해의 하이브리드 SUV’도 수상XM3 TCe 260 인스파이어 [르노코리아 제공][헤럴드경제=서재근 기자] 르노코리아자동차는 소형 SUV(스포츠유틸리티차량) XM3(수출명 르노 아르카나)가 지난 24일 2024 모로코 올해의 자동차를 수상했다고 26일 밝혔다.모로코 수입자동차협회(AIVAM)가 주관하는 모로코 올해의 자동차는 모로코를 대표하는 자동차 시상 행사로 자동차 분야 저널리스트와 전문가로 구성된 심사위원이 예선과 결선을 거쳐 올해의 자동차를 심사한다.올해는 총 14대의 후보 자동차 중에서 심사를 거쳐 7대가 결선에 올랐다. 위원회 규정에 따라 디자인과 실내 구성 등의 편의성을 측정하는 정적 테스트와 주행성능과 동력성능의 우수성을 측정하는 동적 테스트를 진행했고, 여기서 르노 아르카나가 대상을 받았다.아딜 베나니 모로코 수입자동차협회 회장은 “르노 아르카나는 아름다운 디자인에 뛰어난 성능과 많은 편의장비를 지닌 자동차”라며 “모로코 올해의 자동차에 선정될 충분한 자격이 있다”고 밝혔다.모로코 올해의 자동차에 뽑힌 르노 아르카나는 직렬 4기통 1.3ℓ 터보 엔진을 얹은 모델로 국내에서는 XM3 TCe 260으로 판매 중이다. 르노 그룹과 메르세데스-벤츠가 공동 개발한 터보 엔진으로 최고출력 152마력에 최대토크 26.0㎏·m의 힘을 낸다. 엔진 내부를 스프레이 코팅해 피스톤 마찰을 줄이면서 높은 출력과 효율을 동시에 실현한 엔진이다.이 엔진은 독일 게트락(GETRAG)이 제작한 7단 듀얼클러치 습식 변속기와 조합된다. 빠르고 매끄러운 변속으로 높은 출력을 손실 없이 바퀴에 고스란히 전달하는 장점을 지녔다. 더불어 이 변속기는 듀얼클러치의 흔한 단점인 떨림 현상을 최소화한 특징이 있다.한편, XM3는 2023 자동차전문기자협회가 선정하는 ‘올해의 하이브리드 SUV’에 선정된 데 이어 ‘올해의 디자인’과 ‘올해의 소형 SUV’을 수상했다.",생활/문화,헤럴드경제
‘태백산 눈축제’ 내일 개막…거대 ‘눈 조각’ 매력 발산,"[KBS 강릉] [앵커] 강원도 대표 겨울축제 가운데 하나인 '태백산 눈축제'가 내일(26일) 개막합니다. 거대한 눈 조각과 다양한 체험 프로그램까지 즐길 수 있는 태백산 눈축제 현장을 정상빈 기자가 먼저 다녀왔습니다. [리포트] 국립공원 태백산 중턱에 거대한 눈조각 30여 점이 들어섰습니다. 길이 35미터 높이 5미터 규모의 청룡 두 마리는 희망찬 갑진년을 기원합니다. 강원 동계청소년올림픽 마스코트 '뭉초'도 눈 조각으로 다시 태어났습니다. 축제 개막 전 마무리 정비 중인 눈 조각들이지만, 태백산을 찾은 등산객들은 벌써부터 탄성을 아끼지 않습니다. [김미영/서울시 강서구 화곡동 : ""입구에 들어 왔을 때 청룡 봤을 때 너무 멋있어요. 웅장하고 크기도 크고, 웅장하고 청룡이라는 게 딱 느껴져서 기분이 좋았어요.""] 눈 조각 경연대회에 참가한 전국 대학생 10팀도 창의적인 눈 조각 만들기에  여념이 없습니다.[박규원/홍익대학교 조소과 : ""다른 분들이 너무 잘하셔서 저희가 감히 말씀드리기 조금 조심스럽지만, 저희도, 저희 나름대로 완성을 열심히 해서 상위권 안에 들어보도록 하겠습니다.""] 인근 테마공원에는  눈 미끄럼틀과 얼음 썰매 등  30여 개 체험 행사도 준비 중입니다. 이번 축제에는 백두대간의 겨울을 즐길 수 있는  태백산 등반대회 등  다양한 산행 행사도 마련됐습니다. 축제 기간 지역경제 활성화 대책도 함께 추진됩니다. 태백시는 석탄박물관과 자연사박물관 등  지역 대표 관광시설을 축제 기간 휴무 없이 정상 운영합니다. 또, 전통시장 인근 등  불법 주정차 단속도 일부 완화됩니다. [신옥화/태백시 부시장 : ""전국에 계시는 관광객 여러분! 고원도시 태백에 오셔서 이 아름다운 설국의 향연을 함께 즐겨보시길 바랍니다.""] 지난 주말 폭설이 내리면서  눈 세상으로 변한 태백시가 열흘간 이어질 태백산 눈축제와 함께  활기를 되찾을지 기대가 모이고 있습니다. KBS 뉴스 정상빈입니다. 촬영기자:박영웅",생활/문화,KBS
'1억' 벤츠 E클래스 한정판 완판…3시간30분만에 동났다,19일 오전 서울 강남구 코엑스에서 열린 '메르세데스-벤츠 코리아 더 뉴 E-클래스 코리안 프리미어' 행사장에 풀체인지 된 차량이 공개되고 있다. 2024.1.19/뉴스1 ⓒ News1 장수영 기자(서울=뉴스1) 금준혁 기자 = 메르세데스-벤츠 코리아는 '더 뉴 E클래스 프리미어 스페셜'이 3시간30분만에 계약 완료됐다고 26일 밝혔다. 이번 모델은 더 뉴 E클래스 출시를 기념해 내놓은 한정판이다. 더 뉴 E클래스 모델명인 'w214'를 감안해 총 214대를 온라인 세일즈 플랫폼 메르세데스-벤츠 스토어에서 전날 오전부터 한정 판매했다.기존 모델과 달리 알파인 그레이 외장 컬러와 통카 브라운 인테리어 조합의 외관과 블랙 컬러의 20인치 AMG 멀티 스포크 알로이 휠 등 옵션이 추가된다. 차량 가격은 베이스인 E 300 4MATIC AMG 라인보다 1000만원 이상 많은 1억552만원으로 책정됐다.벤츠는 지난 19일 '더 뉴 메르세데스-벤츠 E클래스'를 공식 출시했다. 75년 이상 역사를 지닌 벤츠의 대표적인 비즈니스 세단으로 국내 시장에 8년 만에 선보이는 11세대 완전변경 모델이다.,생활/문화,뉴스1
"""올해 선착순 15만명""…문체부, 근로자 휴가비 50% 지원","[서울=뉴시스] 박주연 기자 = 문화체육관광부가 한국관광공사와 함께 '근로자 휴가 지원 사업'에 참여할 기업과 근로자를 모집한다.근로자가 20만원을 적립하면 근로자 소속 기업과 정부가 각각 10만원을 추가로 적립해 40만원을 국내 여행경비로 사용할 수 있도록 지원하는 사업이다. 적립된 휴가비는 전용 누리집 '휴가샵'과 전용 모바일앱에서 숙박·교통·국내 여행 기획상품, 관광지 입장권 등 국내 여행 상품을 구매하는 데 활용할 수 있다.참여 대상은 중소·중견기업, 소상공인, 비영리민간단체, 사회복지법인·시설 근로자다. 오는 2월1일부터 근로자 휴가 지원 사업 누리집을 통해 기업 단위로 신청받으며, 15만명에 대한 지원금이 소진될 때까지 선착순 접수한다.근로자 휴가지원사업은 2018년부터 시작됐다. 현재까지 6년간 약 5만개 중소기업, 50만명 이상의 근로자가 참여했다. 참여자들의 만족도는 87.5%이며, 정부지원금 10만원 대비 약 8.8배의 여행경비를 지출할 정도로 내수 활성화에도 큰 도움을 주는 것으로 나타났다. 정부는 이같은 파급효과를 고려, 당초 9만명 규모였던 사업 규모를 최대 15만명까지 확대했다.올해는 사업 7년차를 맞아 민간기업 참여 비중을 늘리고, 공공기관, 대기업 협업도 확대한다.5년차 중견기업 대상 기업분담금을 기존 10만원에서 15만원으로 상향하고, 동반성장 지원제도 참여를 독려한다. 동반성장 지원제도는 공공기관, 대기업 등이 중소기업 근로자의 적립금을 대납하는 제도로, 기업과 근로자 간 대표적인 상생협력 모델이다. 지난해 수혜 인원이 최초로 1만 명을 돌파했다.사업 참여기업은 여가친화인증(문체부), 가족친화인증(여가부), 근무혁신 인센티브제(고용부) 등 각종 정부 인증에 신청할 때 가점을 부여받거나 실적으로 인정받을 수 있다. 우수 참여기업으로 선정되면 정부포상을 받고, 우수사례집을 통해 기업을 홍보할 수 있는 기회도 제공받는다.문체부 관계자는 ""지난해에는 모집 후 한 달도 안 돼 신청자가 10만명을 훌쩍 넘을 정도로 호응이 높았다""며 ""올해도 여러 지방자치단체와 함께 더욱 풍성하고 알뜰한 지역관광 상품을 준비할 예정이니 많은 기업들이 적극적으로 참여해달라""고 말했다．",생활/문화,뉴시스
"""강원2024 보고, 바우길 걸어보세요""…유인촌 장관 강릉 방문","'로컬로' 캠페인 두 번째 지역…문화·음식·트레킹 체험 '로컬100, 강릉을 걷다' 시범상품 포스터 [문화체육관광부 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 이은정 기자 = 유인촌 문화체육관광부 장관이 '로컬100 보러 로컬로'(이하 로컬로) 캠페인을 위해 26~27일 '2024 강원동계청소년올림픽'(강원2024)이 열리고 있는 강릉을 찾는다.      26일 문체부에 따르면 유 장관은 이틀간 로컬로 캠페인 두 번째 편인 '로컬100, 강릉을 걷다'에 참가해 강릉 지역문화와 걷기 여행, 음식 등을 체험한다. 이 행사에는 진종오·이상화 강원2024 조직위원장, 홍보대사 클라씨, 로컬100 참여 신청자 등 50여명이 함께 한다.     로컬100은 문체부가 지난해 10월 지역의 문화명소, 콘텐츠, 명인 등을 아울러 선정한 지역문화자원 100선이다. 문체부는 지난달 '로컬100 기차여행-밀양편'을 시작으로 로컬로 캠페인을 펼치며 내외국인의 지역 방문을 촉진하고 있다. 유 장관은 로컬100과 강원2024를 연계하고자 강릉을 두 번째 캠페인 지역으로 정했다. '로컬로' 캠페인 행사 참석한 유인촌 장관(서울=연합뉴스) 유인촌 문화체육관광부 장관이 21일 서울 용산구 서울역에서 열린 '로컬100 보러 로컬로 가요' 캠페인 론칭행사에서 인사말을 하고 있다. 2023.12.21 [문화체육관광부 장관, 재판매 및 DB 금지] photo@yna.co.kr    '로컬100, 강릉을 걷다'는 전국의 등산·숲길 체험 인구 약 3천만명이 지역에 더 오래 머무르도록 걷기와 로컬100 체험을 연계한 상품이다.    유 장관은 로컬100에 선정된 강릉커피축제와 시나미 명주골목, 강릉단오제, 코리아둘레길의 바우길·해파랑길 등을 찾아 지역문화와 스포츠, 트레킹을 체험한다. 향후 지역문화진흥원은 카카오VX, 지자체와 함께 지역별 '로컬100, ○○(지역명)을 걷다' 상품을 출시해 내외국인 걷기 여행객에게 소개할 예정이다.     유 장관은 ""강릉은 강릉단오제로 신명 나는 곳이자 900여 개 카페, 2천여 명의 바리스타, 안목 커피거리, 커피공장 등 커피를 즐길 수 있는 곳""이라며 ""또한 과거의 명주동과 현재의 강릉을 모두 천천히(강릉 방언으로 '시나미') 경험할 수 있는 시나미 명주골목도 있다""라고 소개했다.     이어 ""우리는 등산, 스포츠 경기관람, 여행 등 여러 이유로 지역을 방문한다""며 ""로컬100과 연계해 문화로 지역에 가고, 머물고, 살고 싶게 만들겠다""고 말했다.    유 장관은 이번 캠페인 참여에 앞서 26일 오전 강원2024 현장을 방문해 자원봉사자들에게 감사의 인사를 전했다. 생일을 맞은 고령의 자원봉사자들에게 건강보조식품과 꽃다발도 전달했다.     이어 강릉 스피드스케이팅경기장에서 '스피드스케이팅 남녀 매스스타트' 경기에 출전한 허석, 신선웅, 정희단, 임리원 등 우리 선수를 응원했다.    mimi@yna.co.kr",생활/문화,연합뉴스
