Title,Article,Category,PressCompany
제4통신사 선정 위한 주파수 경매 돌입…세종텔레콤 포기,"제4 통신사 선정을 위한 28기가 헤르츠 대역 경매 첫 날, 입찰 참여 업체 세 곳 중 한 곳인 세종 텔레콤이 중도 포기를 선언했습니다.  과학기술정보통신부는 오늘(25일) 오전 9시 반부터 서울 송파구에서 세종 텔레콤, 스테이지엑스. 마이모바일 등이 참여한 가운데 비공개로 시작된 경매가 오후 5시에 종료됐다고 밝혔습니다. 1단계 다중 라운드 오름 입찰 경매는 6라운드까지 진행됐으며, 내일 7라운드부터 재개됩니다.  현재 최고 입찰액은 757억 원입니다.  이번 경매는 오름 입찰 방식으로 최대 50라운드까지 진행되며, 이 과정에서 낙찰자가 정해지지 않으면 정부가 제시한 최소 입찰액을 검토한 뒤 가장 높은 금액을 제출한 사업자가 주파수를 할당받게 됩니다. 최근 과기정통부는 5G(파이브지) 28㎓ 대역 주파수 할당을 신청한 3개 법인의 입찰 참여 적격 여부를 검토했고, 3개 법인 모두 '적격'으로 판정해 통보했습니다.  경매를 통해 28기가 헤르츠 주파수 대역을 할당받으면 3년 차까지 전국에 기지국 6천 대를 의무적으로 구축하고, 주파수 혼·간섭 회피 조치를 이행해야 합니다.  과기부는 지난해 7월 통신 시장의 경쟁 구조 개선과 투자 활성화에 초점을 맞춰 제4 이동통신사 진입 유도 정책 등이 포함된 '통신시장 경쟁촉진 방안'을 발표한 바 있습니다.[사진 출처 : 연합뉴스]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",IT/과학,KBS
갤럭시 S24 시리즈 사전 개통 개시 [뉴시스Pic],"[서울=뉴시스] KT가 갤럭시S24 시리즈 사전예약에서 온라인 한정으로 판매한 1TB 용량 모델이 첫 날 완판됐다. (사진=KT 제공) *재판매 및 DB 금지[서울=뉴시스]김선웅 기자 = 삼성의 첫 갤럭시 AI 스마트폰 '갤럭시 S24 시리즈'의 사전개통이 개시됐다.SKT, KT, LG유플러스 이동통신 3사는 26일부터 전국 오프라인 매장 및 온라인을 통해 사전 개통을 시작한다고 밝혔다.3사는 사전 구매 고객 대상으로 제휴카드 할인, 중고 스마트폰 보상, 할인 쿠폰 등다양한 혜택을 제공한다.[서울=뉴시스] 김혜진 기자 = 26일 오전 서울 종로구 KT플라자 광화문중앙점에서 갤럭시 S24 사전 구매고객이 제품을 살펴보고 있다. 갤럭시 S24 시리즈는 오는 31일 공식 출시된다. (공동취재) 2024.01.26. photo@newsis.com[서울=뉴시스] 김선웅 기자 = SK텔레콤이 26일부터 삼성의 첫 갤럭시 AI폰 '갤럭시 S24 시리즈'의 사전 개통을 시작한다고 밝혔다. 사진은 SKT가 T팩토리에 설치된 갤럭시 S24 체험존에서 신제품을 소개하는 모습. (사진=SK텔레콤 제공) 2024.01.26. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스] 김혜진 기자 = 26일 오전 서울 종로구 KT플라자 광화문중앙점에서 갤럭시 S24 사전 구매고객이 제품을 살펴보고 있다. 갤럭시 S24 시리즈는 오는 31일 공식 출시된다. (공동취재) 2024.01.26. photo@newsis.com[서울=뉴시스] 김혜진 기자 = 26일 오전 서울 종로구 KT플라자 광화문중앙점에서 갤럭시 S24 사전 구매고객이 제품을 받고 있다. 갤럭시 S24 시리즈는 오는 31일 공식 출시된다. (공동취재) 2024.01.26. photo@newsis.com[서울=뉴시스] 김혜진 기자 = 26일 오전 서울 종로구 KT플라자 광화문중앙점에서 갤럭시 S24 사전 구매고객이 제품을 살펴보고 있다. 갤럭시 S24 시리즈는 오는 31일 공식 출시된다. (공동취재) 2024.01.26. photo@newsis.com[서울=뉴시스] 고승민 기자 = 삼성전자의 첫 AI 폰 '갤럭시 S24' 시리즈가 공개된 18일 서울 강남구 '삼성 강남'에 갤럭시 S24가 전시돼 있다. 갤럭시 S24 시리즈는 '갤럭시 S24 울트라', '갤럭시 S24+(플러스)', '갤럭시 S24' 총 3개 모델로 출시됐다. 사전 판매는 19일부터 25일까지 진행한다. 국내 공식 출시는 1월31일이다. 2024.01.18. kkssmm99@newsis.com",IT/과학,뉴시스
"갤S24, 지원금 받아도 최소 100만원 넘어…선택약정할인이 유리","이동통신 3사, 갤럭시S24 개통 시작이동통신사들이 26일 갤럭시S24 시리즈 사전 구매자를 대상으로 사전 개통을 시작했다. 에스케이텔레콤 제공이동통신 가입자가 단말기를 삼성전자 새 프리미엄 스마트폰 ‘갤럭시S24’ 시리즈로 바꾸려면, 단말기 지원금을 받고도 최소 100만원 이상을 더 내야 한다. 이용자 쪽에서는 단말기를 이 스마트폰으로 바꿀 때, 이동통신사 유통점을 통해 구입하며 단말기 지원금을 받는 것보다, 삼성전자 매장 등에서 자급제 방식으로 구입한 뒤 월 요금의 25%가 감면되는 선택약정할인 제도를 이용하는 게 유리하다.에스케이텔레콤(SKT)은 26일 갤럭시S24 시리즈 사전 개통을 시작했다. 공시 지원금은 요금제를 기준으로 10만(베이직·월 4만9천원)~20만원(5GX 플래티넘·월 12만5천원)으로 책정됐다. 월 정액요금의 25%에 해당하는 금액이 공시 지원금보다 높다.앞서 삼성전자는 갤럭시S24 출고가를 115만5천(256GB)~129만8천원(512GB), 갤럭시S24+는 135만3천(256GB)~149만6천원(512GB), 갤럭시S24 울트라는 169만8천(256GB)·184만1천(512GB)·212만7천(1TB)원으로 책정했다. 갤럭시S24 울트라로 바꾸려면 월 12만5천원짜리 최고가 요금제 가입자도 190만원 이상을 줘야 한다.이동통신사 쪽에서는 선택약정할인으로 가입자를 일정기간 붙잡아두는 게 마케팅적으로 더 유리하다고 판단한 것으로 보인다.에스케이텔레콤은 “지난 25일까지 사전 예약을 진행한 결과를 보면, 30~40대가 전체 예약 가입자 가운데 50%를 차지하며 갤럭시S24 대표고객으로 나타났고, 61%가 갤럭시S24 울트라를 선택했다”고 밝혔다. 제품 색상 선호도는 블랙, 그레이, 옐로우, 바이올렛 순이었다.케이티(KT)와 엘지유플러스(LGU+)도 이날 갤럭시S24 개통을 시작했다. 엘지유플러스 단말기 지원금은 요금제에 따라 5만2천(키즈·월 2만9천원)~23만원(5G 시그니처·월 13만원)이다. 케이티는 단말기 지원금을 밝히지 않았다.",IT/과학,한겨레
미 “달에 위성 보내주겠다” 제안했지만…정작 한국은 예산 없어 ‘무산’,"NASA, 지난해 10월 한국 등에 제안정부, 국회에 예산 요청에 반영 안 돼2022년 11월16일(현지시간) 미국 플로리다주 케이프커내버럴에 있는 케네디우주센터에서 아르테미스 1호가 발사되고 있다. AFP연합뉴스미국이 최근 한국에 초소형 인공위성(큐브위성)을 만들어 보내주면 자신들의 로켓으로 달 궤도를 향해 대신 발사해 주겠다는 제안을 했지만, 한국은 관련 예산을 확보하지 못해 이 제안을 받아들이지 못한 것으로 나타났다. 국내 우주 과학계에서는 실질적인 국제 협력을 확대할 좋은 기회를 놓쳤다는 평가가 나온다.26일 과학기술정보통신부와 국내 과학계 등에 따르면 미국 항공우주국(NASA)은 지난해 10월 한국 등 아르테미스 계획에 참여 중인 국가에 대해 큐브위성을 ‘아르테미스 2호’에 실어 대신 쏴주겠다는 제안을 했다.아르테미스 계획은 미국 주도의 달 개척 프로젝트다. 2026년 인간을 월면에 다시 착륙시키고, 향후 상주기지를 짓는 것이 목표다. 아르테미스 2호는 이런 일정의 일환으로 발사될 로켓이다. 미국의 제안 당시 아르테미스 2호는 올해 11월 발사 예정이었다. NASA는 이달 초 기술적인 보완을 이유로 발사 일정을 내년 9월로 조정했다.NASA가 아르테미스 2호에 탑재를 제안한 큐브위성은 가로와 세로, 높이가 모두 10㎝인 정육면체 전자장치다. 질량은 1.3㎏ 이하다. 보통 위성과 비교해 아주 작고 가볍다.이런 큐브위성에 통신이나 관측 기기 등을 담아 우주로 쏘게 된다. 큐브위성을 조금 크게 만들고 싶다면 블록 장난감처럼 큐브위성 몇 개를 이어붙이면 된다.NASA는 큐브 위성을 쏴 주겠다는 제안을 하면서 따로 운송료를 받지는 않겠다고 했다. 한국이 큐브위성을 개발·제작하는 데 필요한 재원만 있으면 탑재가 성사되는 상황이었다. 과기정통부에 따르면 예상되는 총 비용은 약 70억원이었다. 로켓 한 번 발사에 최소 수백억원이 든다는 점을 감안하면 많은 비용은 아니다.그런데도 한국 정부는 미국 제안을 받아들이지 못했다. 미국이 이 같은 제안을 한 시점이 지난해 10월이었는데, 당시는 2024년 예산안이 국회에 이미 제출된 상황이었기 때문이다. 과기정통부는 관련 비용을 예산안에 새로 포함시켜 달라고 국회에 요청했지만, 결과적으로는 예산안에 반영되지 않았다.윤석열 대통령과 과기정통부가 연구·개발(R&D) 분야에서 국제 협력을 강조하고, 특히 우주 분야 육성을 공언하고 있지만, 현장에서는 다른 상황이 벌어지고 있는 것이다.과기정통부 관계자는 “(국회에서) 왜 그렇게 됐는지는 정확히 파악하기 어려운 상황”이라며 “다만 예산이 많이 들어가는 다른 우주사업을 진행하는 과정에서 여력이 생기지 않았던 것이 아닌가 생각한다”고 말했다.국내 우주과학계에서는 좋은 국제 협력 기회를 놓쳤다는 시각이 나온다. 이창진 건국대 항공우주정보시스템공학과 교수는 “간단한 구조를 지닌 큐브위성의 경우 실질적인 협력을 할 수 있는 좋은 소재”라며 “이런 구체적인 기술협력이 이뤄진 뒤 국가 간에 점차 큰 그림의 협력이 이뤄지는 상황을 만들어야 한다”고 지적했다.이 교수는 “기술적인 협력을 해야 다른 나라 우주 과학자들이 뭘 원하고 한국이 뭘 해줄 수 있는지를 파악할 수 있다”며 “그런 과정이 있어야 아르테미스 계획의 큰 틀에 들어갈 수 있다”고 강조했다.현재 국내 우주과학계에서는 한국이 아르테미스 계획 추진의 제도적인 기반인 ‘아르테미스 약정’에 2021년 서명했으면서도 국제 우주 협력은 가시화되지 않고 있다는 비판이 꾸준히 제기된다. 이상률 한국항공우주연구원장은 지난 18일 기자 간담회에서 이 같은 비판에 대해 “정확한 지적”이라고 말했다.다만 아르테미스 2호 발사가 내년 9월로 당초 예정보다 1년 가까이 미뤄진 것은 변수다. 과기정통부는 미국의 탑재 제안이 아직 유효한 상황인지를 파악해 대응할 예정이다.",IT/과학,경향신문
"1000km 달리는 꿈의 전기차, 젤(gel)로 가능하다","포스텍 박수진 교수팀, 전자빔 활용 일체형 실리콘·젤 전해질 시스템 개발젤(gel)형태의 고분자 전해질을 사용해 1000km를 달릴 수 있는 전기차가 개발돼 화제다.        박수진 교수.    포스텍(포항공대) 화학과 박수진 교수·통합과정 제민준씨, 손혜빈 박사 연구팀은 젤 형태의 고분자 전해질을 사용해 저렴하면서도 안정적인 마이크로 실리콘 기반 차세대 고에너지 밀도 리튬이온 배터리 시스템을 개발했다.      실리콘 음극재는 충·방전 시 부피가 3배 이상 팽창하고 수축하기 때문에 배터리 효율이 크게 떨어진다. 이에 값비싼 나노(10-9m) 실리콘을 활용하면 문제를 일부 해결할 수 있지만, 제조 공정이 매우 복잡하고 까다로우며 천문학적인 비용이 필요하다.      반면, 마이크로(10-6m) 실리콘의 경우 가격과 에너지 밀도 측면에서 실용성은 비교적 높지만, 배터리 작동 중 발생하는 부피 팽창 문제가 더욱 극심하게 나타나 음극재로 사용하기에 한계가 있었다.        손혜빈 박사.    경제적이면서도 안정적인 실리콘 기반 배터리 시스템을 개발하기 위해 연구팀은 젤 전해질(gel polymer electrolyte)을 사용했다.      리튬이온 배터리 내 전해질은 이온이 양극과 음극을 오고 갈 수 있는 중요한 요소다. 젤 전해질은 액체 형태의 일반적인 전해질과 달리 고체나 젤 상태로 존재하는데, 탄성이 있는 고분자 구조를 가져 액체 전해질에 비해 안정성이 높다.     연구팀은 전자빔(electron beam)을 쏘아 마이크로 실리콘 입자와 젤 전해질 간 공유 결합을 형성했다. 이 공유 결합은 리튬이온 배터리 구동 중 부피 팽창으로 인한 내부 응력을 분산시켜 마이크로 실리콘 부피 변화를 완화해 구조적 안정성을 높였다.     그 결과, 기존 나노 실리콘 음극재에 비해 100배 큰 마이크로 실리콘 입자(5μm)를 사용함에도 안정적인 전지 구동력을 보였다.      또, 연구팀의 실리콘-젤 전해질 시스템은 액체 전해질을 사용한 기존 전지와 유사한 이온 전도도를 보였으며, 에너지 밀도는 약 40% 향상됐다.         제민준씨.    연구팀의 시스템은 현재 바로 적용할 수 있는 간단한 공정이라는 점에서도 큰 의의가 있다.     박수진 교수는 “마이크로 실리콘 음극재를 사용했음에도 불구하고 구조적 안정성을 크게 증진시켰다”며 “이번 연구를 통해 실용적인 고에너지 밀도 리튬이온 배터리 시스템에 한 발 더 다가섰다”고 말했다.     이번 연구는 국제 학술지 ‘어드밴스드 사이언스’에 지난 17일 온라인 게재됐다.     한편, 이 연구는 한국연구재단 개인기초연구사업의 지원으로 진행됐다.",IT/과학,세계일보
화성 헬리콥터 ‘인저뉴어티’ 프로펠러 손상… 72번째 비행 끝으로 사실상 임무 종료,"NASA 25일(현지 시각) 공식 기자회견  이달 18일 통신 두절로 로터 프로펠러 손상  남은 영상과 데이터 내려받아 다음 임무 준비화성 헬리콥터 인저뉴어티가 로터 손상으로 임무 수행이 불가능해졌다는 진단을 받았다. 인저뉴어티는 최근 비행 중 통신 두절 사고로 로터 프로펠러의 일부가 손상됐다./미 항공우주국        우주탐사 역사 최초로 지구 밖 행성에서 동력 비행에 성공한 화성 헬리콥터 ‘인저뉴어티’가 사실상 임무 수행 불가능 상태에 빠졌다. 비행장치 손상으로 더이상 비행을 할 수 없어진 것이다.미 항공우주국(NASA·나사)은 25일(현지 시각) 기자회견을 갖고 “지난주 인저뉴어티의 비행 이후 최소 1개의 로터가 파손됐다”고 밝혔다.인저뉴어티는 2021년 2월 화성 탐사차(로버) 퍼서비어런스에 실려 화성에 도착했다. 2개월 후인 4월 첫 동력비행에 성공한 이후 최근까지 72차례의 비행 임무를 수행했다. 화성 환경은 지구에서 받을 수 있는 양력의 100분의 1만 있어 동력비행이 어려운 상황이다.인저뉴어티는 열악한 환경을 극복하고 화성에서 생명체와 물의 흔적을 찾는 임무를 성공적으로 수행해왔다. 그러나 이번 고장으로 인저뉴어티는 더이상 임무 수행이 불가능한 것으로 보인다.빌 넬슨 나사 국장은 소설미디어 엑스(X·옛 트위터)를 통해 “인저뉴어티가 이제 화성에서 마지막 비행을 했다는 사실을 발표한다는 것이 씁쓸하다”고 전했다.시어도어 자네토스 인저뉴어티 프로젝트 책임자도 이날 기자회견에서 “인저뉴어티의 비행을 통해 우리는 많은 것을 배웠다”며 “화성의 방사선 환경에서도 2년 이상 반도체, 리튬이온전지가 작동한다는 것은 나사 엔지니어들에게 엄청난 성과”라고 말했다.화성 헬리콥터 인저뉴어티가 보내온 로터 프로펠러의 그림자 사진. 그림자로 비친 프로펠러의 손상이 확인된다./미 항공우주국, 제트추진연구소        인저뉴어티는 임무 중 3차례의 비상 착륙과 화성의 먼지, 추운 겨울도 버텨냈다. 이달 18일에는 72번째 비행 중 통신이 끊어지는 사고도 발생했다. 바로 다음날 통신이 다시 이어졌으나 통신 두절로 인한 추락으로 프로펠러의 일부가 파손된 것으로 나타났다. 프로펠러 손상은 헬리콥터의 양력을 감소시키고 균형을 깨뜨려 비행에 치명적이다.자네토스 책임자는 “인저뉴어티가 보내 온 사진의 그림자에서 파손의 흔적을 발견했다”며 “사진 확인 직후 절망에 빠졌으나 그간 우리가 해온 일들이 얼마나 대단했는지에 대한 자부심으로 바뀌었다”고 말했다.나사는 인저뉴어티 시스템을 최종적으로 점검하고 남아 있는 영상과 데이터를 지구로 전송할 예정이다. 통신 중단과 고장의 원인을 조사하기 위한 조치다. 인저뉴어티의 사고 데이터는 이후 계획된 화성 헬리콥터 임무의 성공을 위해 활용할 계획이다. NASA는 현재 화성에서 샘플을 채취하고 지구로 보내기 위한 추가 헬리콥터 임무를 계획하고 있다.자네토스 책임자는 “인저뉴어티는 철저한 이론을 바탕으로 임무를 수행해왔다”며 “미래의 헬리콥터 설계는 인저뉴어티가 수집한 모든 데이터를 바탕으로 이뤄질 것”이라고 말했다.",IT/과학,조선비즈
"한국선 버티면서 유럽선 '깨갱'…애플, 앱스토어 수수료 파격 인하","EU 규제에 선택적 개발자 상생앱스토어 결제 수수료 30→17%대체결제 허용, 타 앱마켓서 앱 유통한국 계획 없어···국가별 차별 대우방통위 제재 엄포에도 아랑곳않아[서울경제] 애플이 유럽연합(EU)의 빅테크 규제에 대응해 자사 애플리케이션마켓 앱스토어 정책을 파격적으로 변경한다. 당국과 업계의 요구에 부응해 앱스토어 결제 수수료를 기존 30%에서 17%로 낮추고, 개발자가 기존 인앱결제(애플 자체 결제시스템) 외 대체결제를 도입하도록 허용했다. iOS 앱을 앱스토어가 아닌 타사 앱마켓에서 유통하는 ‘사이드로딩’까지 허용했다. 한국에서는 규제당국의 제재 움직임에도 아랑곳 않는 애플이 그동안의 글로벌 단일 정책 기조까지 접으면서 유럽 개발자에게만 혜택을 늘리는 만큼 지역 간 개발자·소비자 차별 논란이 일 것으로 보인다.애플은 25일(현지시간) 자사의 EU 개발자 홈페이지를 통해 이 같은 내용을 공지했다. 애플은 전 세계 iOS 앱 개발자들이 이용자에게 게임, 디지털 콘텐츠 등 유료 상품을 판매할 때 그 결제수단으로 반드시 자사가 개발한 인앱결제만을 사용토록 강제해왔다. 개발자는 이용자 결제액의 30%를 애플에 수수료로 지불해야 한다. 이에 포트나이트 개발사 에픽게임즈를 포함한 다수의 개발사들이 수수료가 과도한 결제방식을 애플이 강제한다고 문제삼았고 각국 정부도 규제 마련을 추진해왔다. 개발사들이 수익 보전을 위해 수수료율만큼 디지털 상품 가격을 인상하는 관행도 있어, 소비자 역시 피해를 보고 있다.애플이 인앱결제와 관련한 정부 규제와 업계 요구에 부응한 것은 이번이 사실상 처음이다. 지난주 미국에서도 대체결제를 마련하겠다고 했지만 그 수수료율을 인앱결제(30%)와 버금가는 최고 27%로 잡아 ‘꼼수’에 불과하다는 지적이 나왔다. 반면 유럽에서는 앱스토어 결제 수수료가 기존 30%에서 17%로 낮아진다. 개발자들이 직접 개발한 결제시스템을 앱에 넣거나 웹사이트 같은 외부의 결제 페이지로 접속되는 링크(연결점)를 앱 안에 넣고 이를 이용자에게 알리는 대체결제 제공도 허용한다.사이드로딩 역시 앱스토어 사상 처음 허용됐다. 구글이 자사 앱마켓 구글플레이가 아닌 원스토어 같은 타사 앱마켓에서도 안드로이드 앱 배포를 허용하는 반면, 애플은 iOS 앱을 앱스토어에서만 유통해왔다. EU에서는 이 정책을 바꿔 타사 앱마켓에서도 iOS 앱을 유통할 수 있도록 하겠다는 것이다. 이 같은 동향에 맞춰 일찍이 지난해 하반기 유럽법인을 세우고 현지 진출을 준비 중인 원스토어 같은 중소 앱마켓들이 반사이익을 누릴 것으로 보인다. 애플은 다만 개발자가 보안 등 이용자 보호조치를 갖추도록 하고 이를 관리할 방침이다. 또 사이드로딩을 통해 100만 회 넘게 설치된 앱에 대해서는 초과 설치건당 0.5유로(735원)의 ‘핵심기술 수수료’를 매년 부과할 계획이다.애플은 올해 3월 새 iOS 버전인 ‘iOS 17.4’ 업데이트를 진행해 이 같은 변경사항을 적용할 계획이다. 비슷한 시기 EU가 시행하는 디지털시장법(DMA)에 대응하겠다는 취지다. DMA는 EU가 애플을 포함한 빅테크 플랫폼을 ‘게이트키퍼’로 지정하고 이들에게 자사 서비스 우대 등을 금지하는 포괄적 규제다.한국 앱스토어의 정책 변경은 당장 계획되지 않았다. 한국 역시 규제당국인 방송통신위원회가 특정한 결제방식 강제를 금지하는 전기통신사업법에 따라 애플과 구글에 총 680억 원의 과징금 부과와 시정조치를 추진 중이지만 양사의 입장이 아직 완고한 것으로 전해졌다. 양사가 한국에서 거둬들이는 조(兆) 단위의 앱마켓 매출에 비해 2% 수준의 비교적 적은 과징금을 부과하는 식의 제재가 솜방망이 처벌에 불과하다는 비판도 꾸준하다. 방통위는 애플 측이 최근 제출한 제재 관련 방대한 분량의 의견서를 검토 중이며, 이를 마치면 애플 의견을 반영해 제재 안건을 심의·의결하겠다는 방침이다.",IT/과학,서울경제
국정원 정보보안 실태 평가서 기재부·해수부 2곳만 ‘우수’ 등급,"국정원. /뉴스1         기획재정부와 해양수산부가 작년 하반기 국가정보원 정보보안 관리 실태 평가에서 ‘우수’ 등급을 획득했다. 반면 서울특별시와 방송통신위원회, 원자력안전위원회 등 7곳은 미흡 판정을 받았다.25일 ICT업계 등에 따르면 국정원이 작년 하반기 중앙행정기관 46곳과 광역지자체 17곳의 정보보안 관리실태를 평가한 결과 기재부와 해수부 2곳이 우수 등급을 받았다. 행정안전부와 과학기술정보통신부, 경기도, 인천광역시 등 54곳은 보통 등급을 받았다. 서울시와 경상북도, 충청북도, 방통위, 원안위, 국민권익위원회, 소방청 등은 ‘미흡’ 등급이었다.국정원은 하반기 중앙행정기관·광역지자체 평가 결과 전년 대비 전반적인 보안 수준이 개선된 것으로 나타났다고 설명했다. 정보보안 전담 인력·보안감사 시행 등 관리적인 보안 수준 상승에 따른 것으로 국정원은 분석했다.그러나 카카오톡 마비 사태 등을 계기로 재난 대비 역량을 집중 점검한 결과 많은 기관에서 위기 대응 훈련을 형식적으로 수행해 실효성이 부족한 것으로 확인됐다고 지적했다. 기술적 보안 분야에서도 여전히 절반 가까운 기관에서 정보시스템에 대한 비인가자 접근통제, 보안 설정이 문제점으로 지적됐다. 용역업체 보안관리도 전년보다 미흡했다.국정원은 국가·공공기관 대상 재난방지대책 수립, 시스템 접근통제 등 평가점수가 저조한 분야에 대해 교육과 현장 컨설팅 등을 강화하여 보안 수준을 높이도록 유도할 계획이다.국정원은 2007년부터 매년 1회 공공기관(상반기) 및 중앙행정기관·광역지자체(하반기)를 대상으로 ‘정보보안 관리 실태 평가’를 수행하고 있다. 작년에는 공공기관 130곳을 포함해 총 193개 기관을 평가했다. 객관성과 공정성, 실효성을 확보하기 위해 외부 전문가 50여 명으로 현장실사반을 구성했다.평가지표는 관리적 보안, 기술적 보안, 위기 대응 역량 등 3개 분야, 41개 항목, 101개 세부 질의로 구성된다. 급변하는 사이버안보 환경과 정책 변화를 반영하도록 매년 개정된다. 최종 평가 결과는 중앙행정기관 자체평가·광역지자체 정부 합동 평가·공공기관 경영평가 등 소관 분야 정부 업무평가에 반영되고 있다.",IT/과학,조선비즈
"갤럭시S24, 사전판매 121만대 기록…갤S 시리즈 중 최다","전작 109만대 판매 기록 뛰어넘어일평균 17만3000여대 판매...노트10 보다 많아첫 AI폰 마케팅 통해[이데일리 임유경 기자] 삼성전자(005930)는 지난 19일부터 25일까지 1주일간 진행한 갤럭시S24 시리즈의 국내 사전판매가 121만대를 기록했다고 26일 밝혔다.이는 역대 갤럭시S 시리즈 사전판매 중 최다 판매 신기록이다. 직전까지의 지난해 출시한 갤럭시S23 시리즈의 109만대 판매가 사전판매 최다 기록이었다. 갤럭시 스마트폰 중 역대 최다 사전판매 기록은 갤럭시 노트10이 가지고 있다. 이 모델은 2019년 8월 138만대의 사전판매를 기록한 바 있는데, 사전판매 기간이 11일이었다.일평균 기록을 비교하면, 1주일간 121만대를 사전판매한 갤럭시S24 시리즈가 일평균 17만3000여대로, 노트10의 12만5000여대를 넘어선다.갤럭시S24 시리즈의 대박 조짐은 언팩 직후부터 예감됐다. 삼성전자는 19일 자정, 사전판매의 시작과 함께 삼성닷컴에서 90여분간 라이브 방송을 진행했는데, 여기서도 약 2만여대를 판매하며 역대 최다 판매 신기록을 세운바 있다.갤럭시S24 시리즈 사전판매의 모델별 판매 비중을 살펴보면, 울트라가 약 60% 수준을 차지했다. 갤럭시 S24플러스는 약 21%, 갤럭시 S24는 약 19%의 판매 비중을 나타냈다.색상은 갤럭시S24 울트라는 경우 티타늄 블랙의 선호도가 높았고 갤럭시 S24플러스와 갤럭시S24는 마블 그레이 인기가 높았다. 삼성닷컴, 삼성 강남 전용 컬러 중에서는 티타늄 블루와 사파이어 블루의 인기가 높았다.갤럭시S24에서 처음 선보인 ‘갤럭시 AI’ 기능이 소비자의 마음을 사로잡는 데 성공한 것으로 보인다. 갤럭시S24는 13개 언어를 지원하는 실시간 통역과 문자 및 주요 메신저 번역을 지원한다. 또 화면에 동그라미만 그리면 관련 내용을 검색할 수 있는 ‘서클 투 서치’ 기능도 최초로 탑재됐다. 카메라에도 AI 모델을 대거 채용해 줌부터 나이토그래피까지 한층 더 완성된 카메라 경험 제공하며, 생성형 편집 등 AI를 활용한 편집 기능도 대폭 강화됐다.사전 구매 고객은 26일부터 제품 수령과 개통이 가능하며, 개통 후 ‘삼성닷컴’ 앱에서 구매 혜택을 신청할 수 있다. 글로벌 공식 출시일은 오는 31일이다.",IT/과학,이데일리
애플 “타사 앱스토어에서 내려받아도 되지만 돈은 내”,"애플은 EU의 빅테크 규제법 시행으로 외부 플랫폼에서의 앱 다운로드를 허용하되, 애플이 앱을 검증할 수 있는 권한을 부여할 방침이다. 사진=로이터 연합뉴스애플이 유럽 사용자를 상대로 소프트웨어 관련 새로운 수수료 정책 및 관리 규제를 추가할 계획이다.24일(현지시간) 월스트리트저널에 따르면 이는 3월 시행을 앞둔 유럽연합(EU)의 빅테크 규제법인 디지털시장법(DMA)이 자사 전속 앱스토어 외 다른 플랫폼에서도 앱을 다운로드할 수 있도록 허용한 데 따른 조처다.보도에 따르면 애플은 EU의 빅테크 규제법 시행으로 외부 플랫폼에서의 앱 다운로드를 허용하되, 애플이 앱을 검증할 수 있는 권한을 부여할 방침이다.또한 애플 앱스토어가 아닌 타 플랫폼에서 내려받은 앱에 대해서도 결제 시 개발자로부터 수수료를 받을 계획이다.EU의 빅테크 규제법 시행에도 불구하고 '애플 생태계' 바깥의 소프트웨어를 상대로 여전히 강한 통제력을 행사하겠다는 의미다.애플의 이 같은 계획은 빅테크 규제법 시행으로 높은 수수료 없이 앱 출시를 기대했던 앱 개발자들의 반발을 불러일으킬 수 있다고 WSJ은 분석했다.",IT/과학,전자신문
