Title,Article,Category,PressCompany
"외신, 이재명·배현진 잇단 피습에 ""韓 정치 분노 강해져""","WP·AP·NYT·닛케이 등 보도…""극도로 양극화된 정치상황 우려""배현진 국민의힘 의원(왼쪽)과 이재명 더불어민주당 대표 ⓒ연합뉴스주요 외신이 배현진 국민의힘 의원 피습 사건을 보도하며 한국의 정치 분열이 한층 더 심해지고 있다고 진단했다.워싱턴포스트(WP)는 25일(현지 시각) 배 의원의 피습 소식을 전하면서 ""4월 국회의원 총선을 앞두고 한국 정치가 점점 더 분열되고 격렬해지고 있다""며 ""이재명 더불어민주당 대표 피습 사건에 이어 3주 만에 일어났다""고 보도했다.WP는 또 ""정치인의 안전이 우려되는 상황""이라면서 ""일부 인사들은 선거 유세에 나서는 의원들을 위한 안전 관리 강화를 요구한다""고 전했다.이번 달에 연달아 발생한 사건에도 불구하고 한국에서 정치인에 대한 공격은 드문 일이라고 WP는 전했다. 그러면서 2022년 송영길 전 대표, 2015년 마크 리퍼트 전 주한 미국대사, 2006년 박근혜 전 대통령 피습사건 등 과거 국제적 관심을 받은 한국 정치인 피습 사건을 함께 소개했다.뉴욕타임스(NYT)도 ""진보와 보수 진영을 가리지 않고 불과 몇 주 만에 다시 발생한 이번 공격은 한국 정치를 물들인 분열과 분노가 더 강해지고 있다는 신호""라고 보도했다.AP통신은 ""야당 대표가 목을 찔린 지 몇 주 만에 발생한 이번 피습은 한국의 극도로 양극화된 정치에 대한 우려를 더욱 키우고 있다""고 전했다.월스트리트저널(WSJ)은 ""총선을 앞두고 한국의 정치적 긴장감은 높은 상태""라며 ""이번 피습 사건으로 한국 사회에서 폭력의 공포가 정치권 뿐 아니라 시민 사회 전반에서 커졌다""고 지적했다. 그러면서 최근 여론조사 결과에 따르면 한국인의 3분의2가 정치적 분열이 지역사회를 더 위험하고 불안정하게 만든다고 생각한다고 전했다.일본 니혼게이자이신문(닛케이) 영문판인 닛케이 아시아도 배 의원 피습 소식을 보도하면서 ""이 대표 피습에 이어 또다시 일어난 이번 사건으로 인해 한국에서 양극화 심화, 정치적 반대 성향의 인물에 대해 비난하는 풍조에 대한 우려가 커지고 있다""고 밝혔다.이 외에도 블룸버그와 CNN 등 다수 외신이 ""배 의원이 강남 한복판에서 돌을 든 괴한에 습격당했다""며 속보로 전했다.배 의원은 전날 오후 5시18분께 서울 강남구 신사동의 한 건물 입구에서 A군(15)에게 공격당했다. 배 의원은 이후 인근 대학병원으로 이송돼 응급 처치를 받았고, 생명에 지장이 없는 것으로 전해졌다.한편 서울 강남경찰서는 전날 체포한 A군을 보호자 입회하에 조사한 뒤 이날 새벽 응급입원 조처했다. 응급입원은 정신질환자로 추정되는 사람이 자신 또는 타인에게 해를 끼칠 위험이 있는 경우 정신의료기관에 3일 이내로 입원시킬 수 있는 제도다.",세계,시사저널
물밑에서 이렇게까지…삼성 AI폰 출시에 애플 ‘발등의 불’,"중국 베이징 애플 매장에서 방문객들이 애플 제품을 구경하고 있다. [AP][헤럴드경제=손미정 기자] 최근 삼성전자의 인공지능(AI) 기술 탑재 스마트폰 출시로 해당 분야에서 애플의 아이폰이 뒤처졌다는 일각의 평가가 나오는 가운데, 애플이 조용히 역량 강화작업을 진행 중이라는 보도가 나왔다.24일(현지시간) 파이낸셜타임스(FT)는 애플이 차세대 아이폰에 AI 기술을 적용하기 위해 최근 몇 년간 AI 관련 기업들을 연이어 인수하고 직원 채용과 하드웨어 개선도 진행해왔다면서 이 같이 보도했다.앞서 삼성전자는 17일 클라우드 서버를 거치지 않고 스마트폰 자체적으로 정보를 처리할 수 있는 온-디바이스 AI 기술을 적용하고 실시간 통번역도 가능한 AI 폰 갤럭시 S24를 내놓은 바 있다.삼성전자의 AI폰 출시와 관련 브라이언 마 시장조사업체 IDC 애널리스트는 “삼성전자로서는 최대 라이벌 애플과 차별화할 기회”라고 말했고, 블룸버그통신은 뉴스레터를 통해 “애플은 AI에서 한참 뒤처져 있고 삼성전자는 이러한 결점을 부각하기 위해 모든 것을 할 것”이라고 전망했다.하지만 시장조사업체 피치북의 조사 결과 애플은 2017년부터 AI 관련 스타트업 21곳을 인수해 AI 기술과 관련해 빅테크 가운데서도 두드러진 모습을 보이고 있다. 애플이 가장 최근 인수한 기업은 지난해 초 사들인 AI 활용 동영상 압축 업체 웨이브원이다.대니얼 애이브스 웨드부시증권 분석가는 “애플이 몇몇 중요한 인수합병(M&A)을 준비하고 있다”면서 “(기업들 사이에) AI 군비경쟁이 진행 중인 만큼 애플이 올해 큰 AI 계약을 맺지 않으면 충격일 것”이라고 말했다.투자은행 모건스탠리는 현재 애플의 AI 관련 구인 공고 절반 가까이에 생성형 AI와 관련된 딥러닝 용어가 포함되어 있다는데 주목했고, 실제 애플은 2018년 구글의 AI 관련 부문 수장이던 존 지안난드레아를 영입하기도 했다.일각에서는 애플이 챗GPT와 같은 생성형 AI를 구동할 수 있는 자체 거대언어모델(LLM)을 개발하고 있다는 업계 관계자들의 전언도 나온다. 더불어 애플이 온-디바이스 AI 기술 구동 실현을 목표로 하고 있다는 관측도 있다. 이를 위해서는 LLM의 용량을 줄여야 하고 고사양 프로세서도 필요하다.모건스탠리 애널리스트들은 6월께 열리는 개발자 콘퍼런스에서 애플이 생성형 AI와 클라우드 서비스에 맞춰진 iOS 18 운영체제를 내놓을 것으로 보고 있다.애플은 지난해 생성형 AI 구동 능력을 개선한 맥북용 M3 맥스 프로세서와 애플워치용 S9 반도체 등을 공개했고, 지난해 연말에는 애플 연구진이 플래시 메모리를 활용해 온-디바이스 LLM 구동에서 혁신을 이뤘다는 논문을 발표하기도 했다.이러한 가운데 뱅크오브아메리카(BofA) 애널리스트들은 지난주 애플 주식의 등급을 상향하면서, 올해와 내년에 나올 생성형 AI 제품에 대한 수요로 아이폰 교체 주기가 빨라질 수 있다고 봤다.한 AI업계 관계자는 “애플은 신기술이 합쳐질 때까지 뒤에서 기다리는 경향이 있다”면서 “이를 통해 해당 기술의 가장 좋은 형태를 출시하고 싶어 한다”고 말했다.",세계,헤럴드경제
"""트럼프, 바이든에 6%p 앞서""…""67% 재대결 부정적""","【 앵커멘트 】  오는 11월 미국 대선에서 전현직 대통령의 재대결 가능성이 유력해진 가운데, 트럼프 전 대통령이 바이든 대통령을 앞선다는 여론조사 결과가 또 나왔습니다.   미국 유권자의 67%는 재대결에는 부정적 입장을 보였습니다.   워싱턴에서 최중락 특파원입니다. 【 기자 】  양자대결 여론조사에서 트럼프 전 대통령이 바이든 대통령을 6%포인트 차이로 앞선 것으로 나타났습니다.   로이터 조사결과 트럼프 전 대통령과 바이든 대통령이 각각 40%와 34%로 오차범위 안에서 트럼프 전 대통령이 우세를 보였습니다.   무소속 후보 로버트 케네디 주니어를 포함한 가상 대결에서는 트럼프 전 대통령 36%, 바이든 대통령 30%로 역시 6% 포인트 차이로 앞섰습니다.   하지만, 미국 유권자들은 바이든과 트럼프의 재대결에 여전히 부정적인 것으로 조사됐습니다.   응답자의 67%는 '같은 후보를 다시 보는 것에 피로감을 느끼며 새로운 사람을 원한다'고 답했습니다.   또한, '올해 81세인 바이든 대통령이 공직을 수행하기에는 너무 늙었다'는 견해에 4분의 3이 동의했고, 77세인 트럼프 전 대통령에게는 절반가량이 같은 의견을 보였습니다.   특히, 바이든 지지자의 59%는 ""트럼프가 싫어서""라고 답했고, 트럼프 지지자의 39%는 ""바이든이 싫어서""라고 답했습니다. ▶ 스탠딩 : 최중락 / 특파원  (워싱턴 )- ""올해 미국 대선은 덜 싫은 후보를 뽑는 역대급 비호감 경선으로 상대를 깎아내리는 네거티브 비방이 조기에 가열될 전망입니다. 워싱턴에서 MBN 뉴스 최중락입니다.""  영상촬영 : 윤양희 / 워싱턴   영상편집 : 유수진 #바이든 트럼프 양자대결 #트럼프 6%p 앞서 #역대급 비호감 대결",세계,MBN
2024년 증시도 AI… MS·구글·SAP 역대 최고가,"[서울경제] 인공지능(AI) 확산 기대감에 마이크로소프트(MS) 시가총액이 장중 3조 달러(약 4000조 원)을 돌파했다. MS·오픈AI 진영과 초거대 AI 시장에서 자웅을 겨루는 구글(알파벳) 또한 같은날 역대 최고 주가를 썼고, 독일 SAP 또한 AI 중심 구조조정 소식에 사상 최고 주가를 기록했다. 지난해 증시를 달군 AI 열풍이 새해 들어서 더욱 거세지는 모습이다.로이터연합뉴스미 동부시간 기준 24일(현지 시간) 오전 11시 52분 뉴욕 증시에서 MS는 전 거래일보다 1.23% 오른 403.79달러를 기록해 시가총액 3조10억 달러를 기록했다. MS 주가는 소폭 하락해 0.92% 오른 402.56달러로 마감했으나 글로벌 상장 기업 중 애플 이후 두번째로 시총 3조 달러를 넘어선 것이다.MS 주가는 지난해부터 장기 상승 추세다. 챗GPT 개발사 오픈AI와 파트너십을 통해 생성형 AI 시장을 주도할 것이라는 기대감 덕이다. 지난해 MS 주가 상승률은 57%에 달하고 올해 들어서도 7.1% 올랐다. 올해 상승치는 나스닥100 평균 상승률인 4%를 초과한다. 지난 12일에는 애플을 제치고 글로벌 증시 시총 1위 자리에 오르기도 했다. 추가적인 상승세도 점쳐진다. 모건스탠리는 지난 23일 MS 목표주가를 415달러에서 450달러로 상향조정했다. 시티뱅크도 이날 기존 432달러에서 470달러로 목표주가를 올렸다.MS의 AI 경쟁사인 구글 주가도 상승세다. 이날 구글 모회사 알파벳 종가는 전날보다 1.12% 오른 150.35달러로 2021년 11월 기록한 역대 최고가 주당 149.84달러를 넘어섰다. 챗GPT에 대항하는 초거대 AI ‘제미나이’에 대한 기대감이 주가를 끌어올리고 있다. 브라이언 피츠 BMO 캐피털 마켓 애널리스트는 2024년 최고 추천 종목으로 알파벳을 꼽기도 했다.유럽에서도 AI 바람이 거세다. 이날 SAP는 실적 발표와 함께 직원 8000명을 AI 중심으로 재배치하겠다고 밝혔다. AI 개발에 막대한 인력을 투입할 뿐 아니라 기존 인력의 AI 적응을 위해 20억 유로를 투자하겠다는 계획도 내놨다. 이 소식에 SAP 주가는 8.2% 급등, 사상 최고치를 기록했다. 2020년 7월 이후 가장 큰 상승폭이다. 블룸버그는 뱅크 오브 아메리카를 인용해 “2023년 상승세를 주도한 AI 주식이 다시금 트레이더들의 최고 선택지가 되고 있다”고 전했다.",세계,서울경제
"줄 잇는 외신 보도 ""김건희 가방 논란, 국힘 혼란 빠뜨려""","가방 수수 의혹 영국, 홍콩 등 외신 연이어 보도…<타임> ""영부인, 이미 과거 논란 상당해""윤석열 대통령의 부인인 김건희 전 코바나컨텐츠 대표가 고가 브랜드의 가방을 받았다는 의혹과 관련해 외신들의 보도가 줄을 잇고 있다. 이들은 국회의원 총선거가 얼마 남지 않은 상황에서 이번 사건이 여당에 악재로 작용하고 있다고 분석했다. 25일(이하 현지시각) 영국방송 BBC는 ""한국 대통령 부인인 김건희가 고가의 가방을 받았다는 논란이 여당인 국민의힘을 혼란 속에 빠뜨렸다""며 ""일각에서는 이번 스캔들이 오는 4월 선거에서 윤석열 대통령 당(국민의힘)의 전망을 위협하고 있다는 분석도 나오고 있다""고 보도했다. 방송은 ""이번 스캔들은 한국의 국회의원 선거를 불과 석 달 앞두고 불거지고 있다""며 ""또 지난 1년 동안 윤 대통령의 지지율이 꾸준히 하락한 후 상승세를 보이고 있던 가운데 나왔다""고 전해 선거와 연계될 가능성을 언급했다. 방송은 ""이번 사태로 여당의 당내 갈등도 불거졌다""며 한동훈 국민의힘 비상대책위원장이 김 전 대표의 가방 수수 의혹에 대해 ""국민이 걱정할 부분 있다""고 발언한 것과 김경율 비상대책위원이 김 전 대표를 마리 앙투아네트에 비유한 것을 언급하며 내부 균열을 보이기도 했다고 전했다. 미국 주간지 <타임> 역시 이날 해당 논란을 자세하게 다루면서 ""2200달러의 고가 핸드백이 한국 정부 지도부를 뒤흔들며 윤석열 대통령이 속한 보수 성향인 국민의힘 내에 분열이 생기고, 오는 4월 총선을 앞두고 국민의 지지를 잃을 위기에 처했다""고 진단했다. 홍콩의 <사우스차이나모닝포스트>는 26일 ""선거가 얼마 남지 않은 가운데 윤석열 대통령이 부인의 디올 가방과 관련해 사과해야 한다는 압력에 직면해 있다""며 ""영부인 김건희는 공무원 배우자가 미화 750달러 이상의 선물을 한 번에 받는 것이 금지돼 있는 가운데 고가의 가방을 받는 영상에 찍혔다""고 보도했다. 매체는 ""여당은 가방을 준 목사를 비난하고 있지만, 윤 대통령이 대중의 분노를 고려했을 때 현재 상황을 참아내고 감수해야 하는 것 아니냐는 분석이 나온다""고 전했다. 지난해 11월 윤석열 대통령이 영국 국빈 방문 계기 인터뷰를 가졌던 <텔레그래프>도 이번 논란을 자세히 다뤘다. 매체는 이날 ""윤석열 대통령은 그의 부인이 북한과 더 가깝게 지내자고 주장하는 목사로부터 디올 브랜드의 핸드백을 받는 장면이 촬영된 후 점점 더 압박을 받고 있다""고 보도했다. 매체는 ""김 씨가 선물을 받는 정황이 담긴 영상은 현지 언론에 의해 '디올백 스캔들'로 불리고 있다""며 ""이 스캔들은 다가오는 4월 선거에서 다수당을 차지하려는 윤석열 대통령의 보수적인 국민의힘의 노력을 약화시킬 위험이 있다""고 전망했다. 그러면서 매체는 신율 명지대학교 정치외교학과 교수가 ""일반인들은 '그래 함정일 수도 있는데 왜 하필이면 (가방을) 가져갔을까'라고 생각한다""고 말했다며 함정 취재와 별개로 김 전 대표가 고가의 가방을 받았다는 것 자체가 문제가 되고 있다고 지적했다. 한편 <타임>지는 ""한국의 영부인은 얼마나 논란이 많은가? 그는 이미 과거 논란에서 상당한 비중을 차지하고 있었다""며 이번 가방 수수 의혹에 앞서 논문 표절 논란과 탈세 혐의, 도이치모터스 주가 조작 논란 등이 있었다고 전했다. BBC 역시 ""야당은 김 씨가 주가조작에 연루됐다고 오랫동안 비난해 왔다""며 ""이달 초 윤 대통령은 이런 의혹에 대해 부인을 조사해야 한다는 법안에 거부권을 행사했다""고 보도했다. 방송은 서울-양평 고속도로 논란을 다루기도 했다. 방송은 ""지난해 고속도로 건설이 땅값을 올려 김 씨 가족에게 경제적인 이익을 줄 것이라는 주장이 제기되면서 정부가 고속도로 사업을 백지화했다""고 전했다. ▲ 김건희 전 코바나컨텐츠 대표가 최재영 목사를 만나고 있는 장면. ⓒ유튜브 채널 <서울의소리> 갈무리.",세계,프레시안
"""美, 이라크 내 미군 철수 위한 협상 조만간 시작""…테러 위협 확산되나","이라크, 자국 안보 위해 미군 철수 요청2020년 8월23일 이라크 바그다드 북부 기지에서 미군이 이라크 보안군에게 군사 기지를 이양하고 있다. ⓒ 로이터=뉴스1 ⓒ News1 김민수 기자(서울=뉴스1) 김예슬 기자 = 미국이 이라크에 주둔 중인 미군을 철수하기 위한 협상을 조만간 시작할 예정으로 알려졌다.24일(현지시간) 로이터통신은 알리나 로마노프스키 이라크 주재 미국 대사가 푸아드 후세인 이라크 외무장관에게 보낸 서한을 통해 이 같은 내용을 정했다고 소식통 3명을 인용해 보도했다.미국은 이란이 지원하는 무장 세력이 이라크 내 미군 기지 등을 공격하는 것을 먼저 멈춰야 한다는 전제조건을 달았다고 세 소식통은 부연했다.이라크 외무부는 ""중요한 서한이 전달됐다""며 신중하게 검토하겠다는 뜻을 밝혔다.CNN 역시 미국의 군대 철수를 요구하는 이라크 정부의 공개 요구가 있는 가운데 곧 미국과 이라크가 이라크 내 미군 주둔의 미래에 대한 대화를 시작할 것이라고 이 문제에 정통한 소식통을 인용해 전했다.미국은 수니파 무장단체 이슬람국가(IS)의 부활을 막기 위해 이라크에 2500명, 시리아에 900명의 미군을 주둔시키고 있다.지난달 7일 이스라엘-하마스 전쟁 발발 이후 이란의 지원을 받는 무장세력들은 이라크와 시리아 내 미군 기지를 향한 공격을 이어 왔다. 총 150여 차례의 공격이 잇따른 가운데 미국이 보복 공습을 강행하며 중동 전역에 위기감이 감도는 상황이다.이에 이라크는 자국 안보를 위해 미군을 철수해야 한다고 주장해 왔다. 모하메드 시아 알수다니 이라크 총리는 지난 18일 ""국제연합 임무의 종료는 이라크의 안보와 안정을 위해 꼭 필요하다""며 ""이라크와 연합국들 사이의 건설적인 양자 관계를 유지하기 위해서라도 필요하다""고 말했다.이어 ""즉시 대화를 시작해야 한다""며 ""전문가들의 분석에 따르면 IS는 이라크에 대한 위협을 나타내지 않는다""고 덧붙였다.아울러 미국이 시리아에 주둔한 미군 철수를 고려하고 있다는 정황도 포착됐다. 미국 싱크탱크 중동연구소의 찰스 리스터 선임연구원은 이날 미 외교전문지 포린폴리시에 실린 기고문을 통해 백악관이 시리아 주둔 미군 철수 방법과 시기를 결정하기 위한 내부 논의를 진행하고 있다고 전했다.다만 이와 관련해 미국 고위 관리는 CNN에 ""바이든 행정부는 시리아에서 군대 철수를 고려하고 있지 않다""고 일축했다.미국 성조기(우)와 이란 국기 일러스트레이션. 자료사진. ⓒ 로이터=뉴스1 ⓒ News1 정윤영 기자중동 정세가 불안정한 만큼 미국과 이라크가 회담에 나서기까지는 수개월이 걸릴 것이라는 전망이 나온다.신미국안보센터의 중동 안보 프로그램 책임자인 조나단 로드는 CNN과의 인터뷰에서 ""지속 가능한 군사력 구축으로 방침을 전환해야 한다""며 ""만약 미군이 아무런 계획도 없이 지금 떠나면 건강을 유지할 계획도 없이 환자를 거리로 내보내는 셈""이라고 지적했다.그러면서 ""상황이 나빠지면 IS는 바로 이라크로 돌아가게 될 가능성이 높다""고 말했다.미군 철수가 이란의 반발을 부를 수 있다는 우려도 나온다. 후세인 압둘-후세인 민주주의수호재단(FDD) 연구원은 미국 매체 데일리비스트에 기고한 '이란이 이라크 주둔 미군 철수를 원하지 않는 이유'라는 제목의 글에서 ""미국이 군대를 철수해야 할 경우 이란은 미국의 이라크 제재를 두려워한다""며 ""미국의 강력한 제재로 경제가 막대한 어려움을 겪고 있는 이란은 중국으로의 석유 수출, 마약 등 불법 거래, 이라크라는 세 가지 생명선에 의존하고 있다""고 짚었다.친(親)이란 민병대가 미군이 이라크에서 철수할 가능성이 있는데도 미군 기지를 공격하는 이유로 ""이란은 반(反)서방 자격을 과시하고, 미군이 주둔하는 것은 이란의 허가와 자비 아래에 있다는 사실을 상기시키고 있다""고 설명했다.",세계,뉴스1
"트럼프, 본선도 순항? 꼭 그러란 법 없죠","헤일리에 투표한 90% ‘본선서 트럼프 안 찍는다’무당파·고학력·온건보수에서 경쟁력 취약성 여전도널드 트럼프 전 미국 대통령이 23일 뉴햄프셔 내슈어에서 열린 공화당 대통령 후보 예비경선에서 연설하고 있다. 로이터 연합뉴스도널드 트럼프 전 대통령이 아이오와와 뉴햄프셔 공화당 대선 후보 경선에서 과반 이상의 득표를 하는 압승을 거두며 본선 진출을 굳힌 모습이다. 하지만, 승부에 결정적인 영향을 끼치게 되는 무당파와 온건 공화당 지지자들의 표심을 잡지 못해 본선 경쟁력은 여전히 미지수라는 지적이 나왔다.뉴욕타임스는 24일 트럼프 전 대통령이 2020년 대선에서 드러낸 무당파, 고학력층, 온건 공화당층에 대한 취약성이 이번 아이오와 및 뉴햄프셔 경선에서도 확인됐다고 지적했다.뉴햄프셔 경선의 공화당 투표자의 44%는 무당파였다. 이 가운데 트럼프는 39%, 니키 헤일리는 58%를 득표했다. 게다가 미국 언론의 출구조사 결과를 보면, 뉴햄프셔 투표자 중에서 적지 않은 이들이 트럼프에 반대하기 위해 투표장에 나온 것으로 확인된다. 헤일리를 지지한 10명 중 4명은 트럼프에 대한 혐오 때문에 그를 찍었다고 답했다. 헤일리에 투표한 이들 가운데 90%는 트럼프가 공화당 후보가 되면 만족하지 않을 것이라고 답했다.아이오와에서도 자신을 무당파로 답한 투표자의 55%는 트럼프가 아닌 다른 후보를 지지했다. 아이오와는 뉴햄프셔보다도 보수적이어서 공화당 지지세가 강한 곳이다.트럼프는 특히 대졸 이상의 고학력층과 고소득층 등 공화당의 핵심 지지 기반이던 유권자들이 사는 지역에서 취약성을 보였다. 트럼프는 뉴햄프셔에서 하노버·라임·레바논 등 부유하고 고학력층이 모여 사는 도시에서 크게 졌다. 아이오와에서도 중상류층이 모여사는 최대 도시 디모인의 교외 지역에서 트럼프의 득표율은 39%에 그쳤다.현재, 미국 내 여러 여론조사 결과를 보면, 헤일리를 지지한다는 응답자의 약 40%는 본선에서 조 바이든 대통령을 지지하겠다고 밝히고 있다. 이는 무당파뿐 아니라 공화당의 온건 지지층도 본선에서 트럼프를 지지하지 않을 수 있다는 의미이다.현재, 트럼프는 9월 이후 전국 여론조사에서 바이든 대통령에게 우세를 보이고 있다. 각종 여론조사를 종합하는 리얼클리어폴리틱스(RCP) 여론조사 평균을 보면, 트럼프는 47.3%로 43.5%의 바이든을 앞서 나가고 있다. 양자의 지지율 격차는 지난 11일 1%포인트였는데, 민주당보다 먼저 시작된 공화당 예비경선의 컨벤션 효과로 차이가 좀 더 벌어진 것으로 보인다.바이든 대통령도 민주당의 경선이 본격 시작되는 2월3일의 사우스캐롤라이나 예비경선 이후 지지율이 오름세를 보일 것으로 예측된다. 바이든 쪽은 여성의 임신중지권 옹호 등을 내세우며 본격적인 의제 싸움을 시작하고 있다. 트럼프의 취약 집단인 여성, 고학력자, 교외의 증산층, 소수자, 진보층에 대한 공략에 들어가고 있다.본선에서 절대적으로 중요한 ‘실탄’인 광고비에서도 바이든은 우세를 보인다. 트럼프 쪽은 두 차례 예비경선에서 광고비로 3600만달러를 집행했다. 바이든 쪽은 올해 상반기에 텔레비전 광고비로만 1억달러, 오는 7월 공화당 전당대회까지는 3억달러를 쓸 것으로 예상된다. 트럼프 쪽은 지지자들에게 모금을 호소하고 있지만, 공화당의 기존 큰 손들이 많이 이탈한 상태이다.트럼프가 직면한 각종 소송도 양날의 칼이다. 트럼프는 의사당 폭동 사태 등 91가지 범죄 혐의로 기소돼 있다. 이는 지지층을 결속하는 계기가 되기는 했으나, 무당파나 유동층에게는 부정적인 영향을 끼칠 수밖에 없다. 아이오와에서 트럼프를 지지한 투표자의 10%는 그가 유죄를 받는다면, 대선에서 지지하지 않을 것이라고 답했다.",세계,한겨레
"유럽중앙은행, 기준금리 4.5%로 3차례 동결","한국과 유로존 금리 격차도 1.00%p 유지AFP 연합뉴스유럽중앙은행(ECB)이 25일(현지시간) 기준금리 등 주요 정책금리를 동결했다. 이로써 지난해 10월부터 3차례 모두 금리를 그대로 유지하게 됐다.ECB는 이날 통화정책이사회에서 기준금리는 연 4.50%, 수신금리와 한계대출금리는 각각 연 4.00%, 연 4.75%로 동결했다고 밝혔다.ECB는 2022년 7월부터 지난해 9월까지 10차례 연속 금리를 올렸다. 그러다 지난해 10월부터는 3차례 모두 금리를 그대로 유지했다.이에 따라 한국(기준금리 3.50%)과 유로존(유로 사용 20개국) 사이 금리 격차도 1.00%포인트로 유지됐다.ECB는 ""에너지 관련 기저효과를 제외하면 인플레이션 둔화 추세가 지속되고 지금까지 금리 인상이 자금조달 여건에 계속 강한 영향을 주고 있다""며 ""지표들은 인플레이션 전망에 대한 기존 평가를 대체로 확인시켜줬다""고 밝혔다. 그러면서 정책금리가 장기간 유지될 경우 인플레이션 목표치인 2%를 달성하는 데 크게 기여할 것으로 내다봤다.",세계,매일신문
"MS, 시총 '3조弗 고지'… 생성형AI로 가속 붙는다","애플 이어서 두번째로 장중 돌파GDP 세계 5위 규모… 佛보다 ↑클라우드 시장 점유율 상승 요인'경쟁사' 아마존·알파벳은 하락세챗GPT 넘어설 모델 자체개발 중  마이크로소프트(MS) 시가총액이 24일(이하 현지시간) 3조달러(약 3996조원)를 돌파했다. 인공지능(AI) 현금화에서 가장 앞서간다는 평가를 받는 MS는 클라우드와 AI 양 날개를 바탕으로 비상하고 있다.   월스트리트저널(WSJ)에 따르면 MS 시총은 이날 장중 3조달러를 돌파했다. 지난해 애플이 처음 문을 연 시총 3조달러 클럽에 MS도 합류한 것이다.   MS는 2019년 시총 1조달러를 넘어섰고 2년 뒤인 2021년 시총 2조달러를 기록했다. 시총 2조달러를 찍은지 3년째인 올해 드디어 3조달러에 입성했다.   지난해 시총 3조달러 문을 연 뒤 부진에서 헤어나지 못하고 있은 애플과 달리 MS는 지난해 후반 이후 상승 추세다.   배경은 크게 2가지로 꼽힌다. 우선 클라우드 컴퓨팅 부문에서 두각을 드러내고 있는 점이 강점이다. MS는 아마존웹서비스(AWS)에 이어 시장 점유율 2위 클라우드 업체지만 최근 시장점유율이 가파르게 높아지고 있다. 성장이 더딘 3위 알파벳의 구글클라우드, 점유율이 하락하고 있는 1위 아마존과 달리 MS는 생성형AI를 적절하게 활용하면서 시장 점유율을 높이고 있다.   2022년 말 챗GPT-3를 발표하면서 전세계에 AI 돌풍을 일으킨 오픈AI 최대 협력사인 MS는 오픈AI의 기술을 그대로 활용하면서 AI라는 새 성장동력을 확보해 경쟁사들을 압도하고 있다. MS는 챗GPT보다 더 작고 적은 비용으로 실행할 수 있는 인공지능(AI) 모델 개발에 나섰다.   정보통신(IT) 전문 매체 디인포메이션에 따르면 MS는 최근 챗GPT 같은 생성형 AI를 자체적으로 개발하기 위해 미샤 빌렌코 수석 부사장이 이끄는 새로운 생성형 AI 개발팀을 꾸렸다.   이 AI 팀은 챗GPT와 같이 사람의 질문에 응답하면서도 더 작고 저렴하게 실행할 수 있는 모델 개발(SLM)을 목표로 하고 있다. 챗GPT 등 현재의 생성형 AI는 대규모 언어 모델(LLM)을 기반으로 하기 때문에 투입되는 컴퓨팅 자원이 많고 이에 따라 높은 비용이 든다. 그러나 MS는 크기를 줄여 효율적인 AI 모델을 만들겠다는 것이다.   디인포메이션은 MS가 이 프로젝트가 성공할 경우 오픈AI로부터 독립할 수 있을 것으로 예상된다고 전했다.   시총 3조달러는 500개 대기업으로 구성된 스탠더드앤드푸어스(S&P)500지수에 편입된 기업 가운데 시총 하위 200개 기업의 시총을 더한 것과 맞먹는 규모다.   MS는 연초 애플을 제치고 시총 기준 1위 업체로 올라서기도 했다.   애플은 지난해 6월 그 어떤 기업도 도달하지 못했던 시총 3조달러 문을 열었지만 이후 매출 둔화 우려 속에 고전하고 있다. 또 시가총액 3조달러는 국내총생산(GDP) 기준으로 세계 5위에 해당하는 규모다. MS 시총이 GDP 기준 각각 5위인 영국과 7위 프랑스 GDP보다 많다는 뜻이다.",세계,파이낸셜뉴스
"대만 반도체기업 UMC, 미국 인텔과 12나노 공정 개발 협력 추진","TSMC에 이어 대만에서 반도체 위탁생산, 즉 파운드리 2위 업체인 유나이티드 마이크로일렉트로닉스(UMC)가 미국 반도체 기업인 인텔과 협력해 12나노미터 공정 개발에 나서기로 했다고 연합보와 중국시보 등 대만언론이 보도했습니다. 나노는 반도체 회로 선폭을 의미하는 단위로, 선폭이 좁을수록 소비전력이 줄고 처리 속도가 빨라집니다. 현재 세계에서 가장 앞선 양산 기술은 3나노 기술입니다. 대만언론들은 미국 인텔이 처음으로 대만 파운드리 업체와 개발·제조공정을 협력하는 새로운 이정표를 제시했으며, 마이크로일렉트로닉스사는 미국 내 반도체 생산공장을 이용해, 오는 2027년부터 생산에 돌입할 예정이라고 전했습니다. 이에 앞서 대만 언론들은 지난 여섯 분기 연속 매출 감소로 어려움을 겪고 있는 인텔이 파운드리 부문에 집중해 오는 2026년 TSMC를 따라잡겠다는 야심 찬 계획을 세웠다고 보도한 바 있습니다.[사진 출처 : 연합뉴스]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",세계,KBS
