Title,Article,Category,PressCompany
김천수 중앙회장 고향사랑기부제 '1호' 기부,"도지사에 500만원 전달 '솔선수범'▲ 김천수 강원특별자치도민회중앙회 회장이 김진태 도지사에게 고향사랑기부금을 전달하고 있다.  유희태김천수 강원특별자치도민회중앙회 회장이 '갑진년'(甲辰年) 새해를 맞아, 150만 출향도민을 대표해 '고향사랑기부제 1호 기부자'로 나섰다.양양 출신의 김 회장은 25일 서울 롯데호텔월드 크리스탈볼룸에서 열린 '2024년 정기총회 및 신년하례회'에서 김진태 강원특별자치도지사에게 고향사랑기부금 500만원을 전달했다.특히, 김 회장은 고향사랑기부제가 첫 시행됐던 2023년 1월에도 강원도민일보가 추진한 '고향사랑 기부제 범국민 캠페인'에 출향도민 1호 기부자로 참여했었다.이후 김 회장은 지난 한 해 동안 도내 각 지역 전통시장에서 진행된 '고향 장보기' 행사 등과 연계해 기부제를 적극 홍보하고, 출향도민들의 기부제 동참을 당부하는 등 기부제 활성화를 위한 활동에 매진했다.김 회장은 ""강원특별자치도 출범과 발맞춰 우리 도민회도 '강원특별자치도민회중앙회'로 거듭난 지금, 새해에도 출향도민들을 대표해 '1호 고향사랑기부제 기부자'로 나서게 돼 영광""이라며 ""올해에도 강원도민회 중앙회가 고향사랑의 선봉장이 될 수 있도록 다각도의 지원 활동을 펼쳐 나가며 고향사랑기부제에 대한 출향도민들의 적극적인 관심을 끌어올리겠다""고 약속했다.이세훈 sehoon@kado.net",사회,강원도민일보
‘46억원 횡령’ 건보 공단 40대 직원 검찰 송치,"◇강원경찰청에 압송된 건보 공단 46억원 횡령 피의자 A(46)씨. 사진=연합뉴스국민건강보험공단에서 재정관리팀장으로 재직하며 46억원을 횡령한 40대가 구속 상태에서 검찰에 넘겨졌다.강원경찰청 반부패경제범죄수사대는 26일 특정경제범죄가중처벌 등에 관한 법률 위반(횡령) 혐의로 A(46)씨를 검찰에 구속 송치했다.A씨는 국민건강보험공단 재정관리팀장으로 재직하던 2022년 4월27일부터 7차례에 걸쳐 17개 요양기관의 압류진료비 지급보류액 46억 2,000만원을 본인 계좌로 송금해 횡령한 뒤 해외로 도주했다. A씨는 지난 9일 필리핀의 마닐라 고급 리조트에서 1년 4개월만에 경찰에 붙잡혔다.경찰은 건보 공단이 민사 소송으로 계좌 압류·추심 등을 진행해 회수한 7억 2,000만원을 제외한 나머지 39억원의 사용처를 추적 중이다. A씨는 범죄 수익금을 가상 화폐로 환전해 은닉했고, 경찰 조사 과정에서 ""돈을 다 썼다""고 진술한 것으로 알려졌다. 강원경찰청 관계자는 ""범죄 수익금 환수를 위해 수사를 이어갈 것""이라고 말했다.",사회,강원일보
“미용실서 연예인 나오길 기다렸다” 배현진 습격한 중학생 진술… 촉법소년은 아니었다,"피의자, 2009년생 강남 인근 중학생으로 촉법소년에는 해당하지 않아    국민의힘 배현진 의원(서울 송파을)이 25일 서울 강남구 신사동의 한 건물에서 괴한에게 습격 당하는 장면이 담긴 CCTV 화면을 배 의원실이 공개했다. 배현진 의원실 제공    배현진 국민의힘 의원을 돌덩이로 수차례 습격한 피의자 A(15)군이 “미용실에 드나드는 연예인들을 기다렸다”라며 ‘우발적 범행’을 주장한 것으로 26일 전해졌다.     이날 서울 강남경찰서는 A군에게 피의자 진술을 확보한 후 응급입원 조처했다고 밝혔다. A군 강남 인근 중학교에 재학 중인 것으로 알려졌다.     A군은 경찰 조사에서 “연예인이 많이 다니는 미용실에서 사인을 받으려고 기다리다 배 의원을 만나 우발적으로 범행을 저질렀다”고 진술했다고 한다.  A군은 우울증으로 치료를 받은 적이 있고 입원 대기 중인 상태였으며, 범행 도구인 돌도 평소에 소지하고 다녔다고 주장했다.     배 의원은 전날 오후 5시18분쯤 서울 강남구 신사동의 한 건물 엘리베이터 앞에서 달려든 A군이 휘두른 돌덩이에 머리 부위를 약 15차례 공격당했다.     당시 A군은 “국민의힘 배현진 의원이죠?”라고 두 차례 묻고 신원을 확인하고는, 갑자기 공격을 시작한 것으로 파악됐다.     배 의원실이 사건 현장 폐쇄회로(CC)TV 영상 등을 공개했다.     영상에 따르면 당시 A군은 머리를 감싸 쥐며 쓰러진 배 의원의 머리를 10여초간 15차례 내리쳤다.     A군은 또 경찰이 출동할 때까지 현장을 떠나지 않고 배회하며 고통스러워하는 배 의원을 계속 지켜본 것으로 전해졌다.     이 과정에서 그는 자신의 나이가 ‘15세’라고 주장하며 ‘촉법 소년’에 대한 얘기를 했다고 배 의원실은 전했다.     A군은 2009년생으로 만 14세에 해당해 '촉법소년'으로 분류되지 않아 형사처벌이 가능한 것으로 전해졌다.      이 사고로 배 의원은 서울 순천향대병원으로 이송돼 두피 봉합 처치를 받은 뒤 입원해 안정을 취하고 있다. 다행히 생명에 지장이 없는 상태로, 현재 입원실에서 경찰에 피해자 진술을 하고 있는 것으로 전해졌다.",사회,세계일보
차량 훔치고 달아난 40대 흉기 저항까지...경찰 '실탄' 쏴 제압,"다리 부위에 실탄 쏴 현행범 체포사진=게티이미지뱅크차량을 훔쳐 도주하던 한 40대 남성이 흉기를 들고 저항하다가 실탄을 맞고 경찰에 붙잡혔습니다.인천 강화경찰서는 오늘(26일) 특수공무집행방해와 절도 혐의로 40대 A씨를 붙잡아 조사 중이라고 밝혔습니다.A씨는 오늘 오전 4시 40분쯤 경기 김포시 대곶면 도로에서 흉기와 전기충격기를 들고 난동을 부리다가 경찰관 2명을 다치게 한 혐의를 받고 있습니다.그는 인천 남동구에서 차량을 훔쳐 김포까지 도주하다가 경찰의 추적을 받자 거세게 저항한 것으로 조사됐습니다.경찰은 A씨의 다리 부위에 실탄을 쏴 제압한 뒤 현행범으로 체포했고 이 과정에서 경찰관 2명이 팔 부위를 다쳤습니다.경찰은 A씨가 치료를 마치는 대로 범행 동기를 비롯한 구체적인 사건 경위를 조사할 예정입니다.경찰 관계자는 ""A씨는 생명에 지장은 없는 상태""라며 ""구속영장을 신청 여부를 검토할 방침""이라고 말했습니다.",사회,MBN
83세 '최고령 수험생' 할머니 숙명여대 합격,"2024학년도 대학수학능력시험의 최고령 수험생이었던 김정자 할머니가 숙명여대에 합격했습니다.숙명여대는 김 할머니가 올해 미래교육원 사회복지전공 신입생으로 입학한다고 밝혔습니다.학교 측은 학업을 응원하는 의미에서 1년간 장학금을 지원하기로 결정했습니다.83세인 김 할머니는 ""건강이 허락할 때까지 연필을 놓지 않겠다""는 입장을 밝힌 것으로 알려졌습니다.안채린 기자 (chaerin163@yna.co.kr)#수능 #최고령 #숙명여대연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",사회,연합뉴스TV
신생아 딸 살해 후 쓰레기통에 버린 친모 '징역 5년'…법원 “살인 고의 있다”,"신생아 이미지.[123RF] [헤럴드경제=이명수 기자] 생후 사흘 된 딸을 살해하고 시신을 쓰레기봉투에 담아 유기한 혐의로 기소된 친모에게 징역형의 실형이 선고됐다.광주지법 형사11부(고상영 부장판사)는 26일 살인·시체유기 등 혐의로 기소된 김모(33)씨에 대해 징역 5년을 선고했다.김씨는 2018년 4월 4일 산부인과에서 딸을 출산한 뒤 이틀 뒤인 4월 6일 병원에서 퇴원 후 모텔에 투숙해 아기를 살해한 혐의로 기소됐다.김씨는 경제적으로 궁핍한 상태에서 아이를 양육하기 어렵다고 생각해 살해하기로 마음먹고, 울음을 멈추지 않는 딸을 모텔 침대 위에 고의로 뒤집어 놓아 숨지게 했다.딸의 시신을 가방에 담아 집으로 옮겨 냉동고 등에 보관한 김씨는 다시 쓰레기봉투에 넣어 아파트 분리수거장에 버려 유기한 혐의도 적용됐다.김씨는 ""아이를 고의로 살해하지 않았다""고 주장했으나, 재판부는 ""몸을 가누지 못하는 신생아를 뒤집어 놓은 것 등을 보면 미필적이나마 살인의 고의가 있었다""고 판단했다.다만 홀로 아이를 낳아 기르는 것에 대한 부담감에 범행을 충동적으로 저질렀고, 반성하고 있는 점 등을 고려해 검사의 구형량 징역 15년보다 낮은 형량을 선고했다.김씨의 범행은 의료기관 출산 기록은 있으나 출생 신고가 누락된 영유아에 대한 전국적인 전수조사 과정에서 드러났다.지방자치단체 조사에서 친정아버지에게 아이를 맡겼다고 주장한 김씨는 수사 의뢰를 받은 경찰의 조사가 시작되자 가족의 설득으로 자수했다.",사회,헤럴드경제
광주-대구 '달빛철도' 특별법 국회 통과,"광주와 대구를 잇는 '달빛철도 건설을 위한 특별법'이 어제(25일) 국회 본회의를 통과했습니다. 달빛철도가 2030년 개통되면 광주와 대구가 1시간대에 이동 가능해집니다.예상 사업비는 최소 6조원이지만, 지역감정 해소와 국토 균형 발전 명분으로 예비타당성 조사는 생략됩니다. 이 때문에 일각에선 '총선용 포퓰리즘' 법안 아니냐는 비판도 나옵니다. 달빛철도 법안은 사상 최다인 261명이 공동발의했습니다.방현덕 기자 (banghd@yna.co.kr)#달빛철도 #예타면제 #국회연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",사회,연합뉴스TV
"환경장관 ""올해 녹색산업 수주·수출 22조…온실가스 감축 원칙""","환경부, 2024년도 주요 정책 추진 계획 발표녹색투자 4.7조…1000억 가치 기업 4개 육성지역 특성 고려한 클러스터 전국 10개 조성[서울=뉴시스] 김명원 기자 = 한화진 환경부 장관 25일 오전 서울 종로구 정부서울청사 별관에서 2024년 주요 업무계획 발표하고 있다. 2024.01.26. kmx1105@newsis.com[서울=뉴시스] 구무서 기자 = 환경부는 올해 녹색산업 수주·수출 목표로 22조원을 설정했다. 이를 위해 녹색투자를 확대하고 창업부터 성장까지 주기별 육성 지원에 나선다. 국제적 약속인 국가온실가스감축목표(NDC)는 기존 목표 대비 '후퇴금지'라는 원칙을 준수할 예정이다. 환경부는 이 같은 내용을 골자로 한 2024년 환경부 주요 정책 추진 계획을 26일 발표했다.녹색산업 분야를 보면 매년 수출 목표를 10% 이상 확대해 올해는 22조원 달성을 추진한다. 지난해에는 녹색산업 분야 수주·수출 20억원을 달성한 바 있다. 환경부는 윤석열 정부 임기 내 녹색산업 분야 수주·수출 누적 100조원 달성을 목표로 하고 있다. 이를 위해 녹색산업을 지원하는 녹색투자는 2022년 1조8000원에서 올해 4조7000억원으로 확대하고 기존 온실가스 감축에 치중됐던 투자 분야도 물, 순환경제 등으로 확장한다. 녹색창업기업(그린스타트업)은 올해 210개, 2027년 1000개 이상으로, 기업 가치가 1000억원을 넘는 예비녹색거대신생기업(예비그린유니콘기업)은 올해 4개, 2027년까지 10개를 육성할 계획이다. 또 녹색투자로 지역특화산업을 육성하는 녹색융합클러스터는 올해 구미와 해남, 보령 등 3개소에 조성을 시작하고 2028년까지 전국 10개소로 확대한다. 해당 클러스터별 수요에 맞게 특성화 고교와 대학 드을 재편해 인력 공급과 청년 고용을 지원한다. [서울=뉴시스] 환경부 녹색융합클러스터 조성계획. (사진=환경부 제공) 2024.01.26. photo@newsis.com *재판매 및 DB 금지이와 함께 지역상생형 경남 합천 수상태양광발전, 옛 장항제련소 주변부지의 생태복원테마지구 조성, 김포 거물대리 수소·전기차 클러스터 조성 등 지역의 환경자산과 여건을 고려한 녹색투자로 다양한 지역발전 선도사업의 본보기를 조성할 계획이다.정부는 새로 조성되는 반도체 등 첨단 산업단지에 용수가 적기 공급되도록 국가수도기본계획을 재수립하고 다양한 용수공급방안을 발굴할 예정이다. 아울러 순환경제사회 전환 촉진법 시행에 따라 고부가가치 폐자원을 폐기물 규제에서 제외하고 시장에서 신속히 활용할 수 있도록 할 계획이다. 기업이 책임있는 탄소중립을 이행할 수 있도록 온실가스 감축 설비 설치 및 교체 지원에 1277억원을 지원하고, 저탄소 혁신기술 도입시 정부가 탄소 가격을 보장하는 탄소차액계약제도 도입 기반을 마련한다. 온실가스 감축 기업이 더 많은 혜택을 받을 수 있도록 온실가스 배출권거래제를 개선하면서, 배출권 연계 금융상품을 최초로 출시해 거래시장이 활성화되도록 하고, 정책-거래-투자의 선순환 구조를 구축한다.한편 환경부는 국제적 기준에 부합하도록 환경 규제를 혁신한다. 한화진 환경부 장관은 지난 25일 열린 주요 업무 추진 계획 브리핑에서 ""2035년 NDC는 올해부터 본격적으로 수립한다. 파리협정에 따른 후퇴 금지 원칙 부분은 준수한다""며 ""과학 기술에 기반한 실행 가능한 NDC 수립을 추진하겠다""고 말했다. 또 화학물질 등록 기준을 기존 0.1t에서 1t으로 조정하고 유해화학물질은 위험성에 비례해 차등 관리하는 등 규제를 현실화한다. 이를 위해 오는 6월가지 물질 특성 및 취급량을 고려한 시설 기준을 마련할 예정이다. 대기오염 총량제는 단년도 총량주의에서 지역 내 배출총량 유지를 조건으로 유연성을 부여한다.환경부 관계자는 ""기업에서 해마다, 사업장마다 상황이 달라 애로사항이 있다는 건의들이 있었다""며 ""연도별 이월 부분에 대한 건의를 받고 검토하는 단계에 있으며 좀 더 유연하게 사업장이 목표를 달성할 수 있게 방향을 갖고 있다""고 말했다．",사회,뉴시스
'영풍제지 주가조작' 주범 검거…제주에서 밀항하려다 붙잡혀,"[영풍제지 홈페이지. (사진=영풍제지 홈페이지 갈무리)]영풍제지 주가조작 사태 주범으로 지목된 사채업자 이모씨가 3개월간 도피 끝에 검거됐습니다. 제주지방해양경찰청이 어제(25일) 제주도에서 밀항 시도하던 이씨를 검거하고, 서울남부지검 금융·증권범죄합동수사부가 오늘(26일) 이씨의 신병을 확보한 것으로 알려졌습니다. 이씨는 현재 구속기소된 공범들이 주범으로 지목한 인물로서, 영풍제지 주가조작 사태 이후 검찰 수사망을 피해 3개월째 도피 중이었습니다. 앞서 공범 중 한명인 윤모씨의 변호인은 지난 19일 ""피고인은 주범 이모씨의 지시에 따랐을 뿐""이라고 밝힌 바 있습니다. 이런 가운데 이씨가 검거되면서 영풍제지 수사에 속도가 붙을 전망입니다. 영풍제지 주가조작 사태는 지난해 10월 18일 영풍제지 주가가 돌연 하한가를 잇달아 기록하면서 수면 위로 드러났습니다.주가조작 일당인 윤씨 등은 이번에 검거된 이씨의 지시를 받고 지난해 2월부터 폭락 직전까지 110여 개의 계좌를 동원해 영풍제지 주식을 총 3만8천875회 시세조종한 혐의를 받습니다. 현재까지 산출된 부당이득 규모는 2천800억 원가량 됩니다. 검찰은 이 사건 범행으로 총 11명을 구속 기소했고, 향후 이씨 등 범행에 가담한 5명을 추가 기소할 예정입니다. 당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn",사회,SBS Biz
"성동구, 30일 '성동사랑상품권' 40억원 발행…5% 할인 혜택","(서울=연합뉴스) 정준영 기자 = 서울 성동구(구청장 정원오)는 설 명절을 맞아 주민 장바구니 부담을 덜고 지역 상권을 활성화하고자 오는 30일 오후 2시부터 40억원 규모의 '성동사랑상품권'을 발행한다고 25일 밝혔다.성동사랑상품권 발행[서울 성동구 제공. 재판매 및 DB 금지]    5% 할인된 금액으로 서울페이플러스, 신한쏠페이, 티머니페이, 머니트리, 신한쏠뱅크 총 5개의 애플리케이션에서 구매할 수 있다. 구매 한도는 1인당 월 50만원, 보유 한도는 1인당 150만원이다.     이 상품권은 전통시장, 학원, 음식점, 미용실 등 관내 9천337개 가맹점에서 앱을 통해 편리하게 결제할 수 있고 30%의 연말정산 소득공제 혜택을 받을 수 있다.     구는 설 명절 이후에도 회차를 나눠 성동사랑상품권을 추가 발행할 예정이다.     성동사랑상품권은 지난해 총 500억원 규모로 발행돼 완판됐다.    prince@yna.co.kr",사회,연합뉴스
